,TSS_5::NC_013691.1:26542-26742(),TSS_6::NC_013691.1:28760-28960(),TSS_8::NC_013691.1:59661-59861(),mean
-100,,,,
-99,,,,
-98,,,,
-97,,,,
-96,,,,
-95,,,,
-94,,,,
-93,,,,
-92,,,,
-91,,,,
-90,,,,
-89,,,,
-88,,,,
-87,,,,
-86,,,,
-85,,,,
-84,,,,
-83,,,,
-82,,,,
-81,0.11083801629920904,0.06430901525180271,0.11106737825529223,0.09540480326876799
-80,0.21569866530392906,0.1098014726549263,0.2138427057723189,0.17978094791039143
-79,0.21569866530392906,0.1098014726549263,0.2138427057723189,0.17978094791039143
-78,0.21816416074445472,0.1098014726549263,0.2138427057723189,0.18060277972389996
-77,0.2197309309826626,0.1098014726549263,0.21607016970107668,0.18186752444622187
-76,0.22274725579219262,0.12192483895275866,0.21607016970107668,0.18691408814867602
-75,0.22274725579219262,0.13298180997126322,0.21607016970107668,0.19059974515484415
-74,0.22274725579219262,0.14109806557177462,0.21607016970107668,0.19330516368834796
-73,0.22274725579219262,0.14472872653035573,0.21607016970107668,0.19451538400787502
-72,0.22274725579219262,0.1580103759268549,0.21607016970107668,0.19894260047337475
-71,0.22274725579219262,0.16426966502217624,0.21607016970107668,0.20102903017181517
-70,0.2197309309826626,0.1600512553976901,0.2077781189628111,0.19585343511438794
-69,0.2162190591286992,0.1600512553976901,0.20487135323366362,0.19371388925335098
-68,0.21218679344996566,0.15155692917255403,0.20402178626765713,0.18925516963005895
-67,0.20578613951234892,0.14529764007723267,0.20334507463794266,0.1848096180758414
-66,0.19789308159863866,0.14472872653035573,0.1894893799464608,0.17737039602515173
-65,0.1859235574244182,0.14313455026908545,0.1603439679886398,0.16313402522738116
-64,0.15943651079633198,0.1403376770964085,0.12619709888056213,0.1419904289244342
-63,0.14237491044688744,0.1403376770964085,0.09679584332403514,0.12650281028911034
-62,0.14237491044688744,0.1403376770964085,0.08655649013026956,0.12308969255785517
-61,0.14237491044688744,0.14313455026908545,0.08636051920430557,0.12395665997342616
