,TSS_POS_1::NC_010326.1:880-980(+),TSS_POS_2::NC_010326.1:959-1059(+),TSS_POS_3::NC_010326.1:1074-1174(+),TSS_POS_4::NC_010326.1:1112-1212(+),TSS_POS_5::NC_010326.1:1214-1314(+),TSS_POS_6::NC_010326.1:1347-1447(+),TSS_POS_7::NC_010326.1:1373-1473(+),TSS_POS_8::NC_010326.1:1491-1591(+),TSS_POS_9::NC_010326.1:1537-1637(+),TSS_POS_10::NC_010326.1:21064-21164(+),TSS_POS_11::NC_010326.1:35539-35639(+),TSS_NEG_1::NC_010326.1:702-802(-)
-70,,,,,,,,,,,,
-69,,,,,,,,,,,,
-68,,,,,,,,,,,,
-67,,,,,,,,,,,,
-66,,,,,,,,,,,,
-65,,,,,,,,,,,,
-64,,,,,,,,,,,,
-63,,,,,,,,,,,,
-62,,,,,,,,,,,,
-61,,,,,,,,,,,,
-60,,,,,,,,,,,,
-59,,,,,,,,,,,,
-58,,,,,,,,,,,,
-57,,,,,,,,,,,,
-56,,,,,,,,,,,,
-55,,,,,,,,,,,,
-54,,,,,,,,,,,,
-53,,,,,,,,,,,,
-52,,,,,,,,,,,,
-51,5.875,6.395,5.085,6.33,5.154999999999999,5.445,5.29,5.45,6.25,5.585,5.41,4.9799999999999995
-50,6.069999999999999,6.584999999999999,5.195,6.409999999999999,5.115,5.175,5.46,5.55,6.220000000000001,5.790000000000001,5.375,5.0600000000000005
-49,5.795,6.3100000000000005,5.19,6.36,5.07,5.455,5.615,5.470000000000001,6.325,5.79,5.1,5.034999999999999
-48,5.875,6.540000000000001,5.180000000000001,6.285,4.8950000000000005,5.51,5.8,5.470000000000001,6.5,5.57,5.1,5.285
-47,5.8549999999999995,6.609999999999999,5.26,6.26,4.93,5.65,5.63,5.505,6.31,5.415,5.035,5.21
-46,5.66,6.720000000000001,5.285,6.45,5.13,5.65,5.85,5.755,6.35,5.744999999999999,5.025,5.609999999999999
-45,5.56,6.590000000000001,5.335,6.63,5.32,5.8100000000000005,5.59,5.79,6.734999999999999,5.875,4.984999999999999,5.545
-44,5.38,6.6450000000000005,5.459999999999999,6.594999999999999,5.32,5.970000000000001,5.994999999999999,5.5649999999999995,6.4350000000000005,5.785,4.984999999999999,5.465
-43,5.3549999999999995,6.795,5.525,6.62,5.61,5.79,5.95,5.319999999999999,6.225,5.785,5.05,5.33
-42,5.58,6.705,5.725,6.67,5.63,5.569999999999999,5.82,5.09,6.095000000000001,5.785,5.175,5.095000000000001
-41,5.42,6.6,5.67,6.545,5.585,5.66,5.82,5.38,6.215,5.76,4.9,4.945
-40,5.67,6.540000000000001,5.64,6.445,5.635,5.46,5.89,5.430000000000001,5.949999999999999,5.840000000000001,5.124999999999999,4.944999999999999
-39,5.385,6.33,5.635,6.475,5.525,5.459999999999999,5.805,5.465000000000001,6.0,5.82,5.015,5.06
-38,5.385,6.159999999999999,5.5649999999999995,6.325,5.27,5.46,5.6049999999999995,5.4399999999999995,5.965,5.67,5.0600000000000005,4.965000000000001
-37,5.555,6.425,5.415,6.225,5.5,5.515,5.66,4.944999999999999,5.89,5.4350000000000005,5.0600000000000005,5.1
-36,5.52,6.295,5.1899999999999995,6.35,5.9,5.404999999999999,5.525,4.545,5.865,5.209999999999999,5.015,5.1
-35,5.595000000000001,6.21,5.095,6.15,5.7,5.36,5.55,4.705,5.64,5.244999999999999,5.235,5.155
-34,5.720000000000001,6.069999999999999,5.465,6.205,5.49,5.51,5.529999999999999,4.6,5.615,5.135,5.01,5.155
-33,5.57,6.045,5.865,6.135,5.62,5.735,5.56,4.8950000000000005,5.3149999999999995,5.069999999999999,5.08,5.13
-32,5.545,5.975,5.865,6.02,5.65,5.925,5.65,4.9,5.279999999999999,5.135,5.26,5.325
-31,5.65,5.840000000000001,5.875,5.735,5.665,5.904999999999999,5.930000000000001,4.74,5.305,5.465,5.165,5.165000000000001
-30,5.205,5.84,5.84,5.8149999999999995,5.66,5.98,5.93,4.82,5.545,5.555,5.1,4.925
-29,5.455,6.18,5.97,5.865,5.665,5.925,6.195,4.72,5.4799999999999995,5.5600000000000005,5.15,5.055000000000001
-28,5.305,6.28,5.895,6.025,5.825,5.89,6.165,4.795,5.17,5.76,4.955,5.135
-27,5.41,5.984999999999999,5.825,6.085,5.745,5.720000000000001,6.0649999999999995,4.87,5.36,6.159999999999999,5.18,5.11
-26,5.585,6.14,5.955,6.084999999999999,5.78,5.630000000000001,6.135,4.540000000000001,5.35,6.16,4.95,4.865
-25,5.470000000000001,6.095000000000001,5.88,5.819999999999999,5.705,5.29,6.415000000000001,4.3950000000000005,5.075,6.084999999999999,4.925,5.24
-24,5.64,6.09,5.705,5.8,5.4399999999999995,5.46,6.03,4.43,5.130000000000001,6.26,4.955,5.244999999999999
-23,5.745,6.02,5.74,5.845000000000001,5.49,5.615,6.04,4.5649999999999995,5.25,5.994999999999999,4.955,5.470000000000001
-22,5.72,6.159999999999999,5.67,5.85,5.470000000000001,5.8,6.279999999999999,4.68,5.51,6.109999999999999,4.76,5.765
-21,5.66,6.3100000000000005,5.585,5.905,5.445,5.63,6.385,4.58,5.135,6.135,4.875,5.72
-20,5.455,6.2299999999999995,5.425,5.855,5.235,5.85,6.165,4.47,5.4,5.905,4.655,5.585
-19,5.78,6.4399999999999995,5.58,5.89,5.335,5.590000000000001,6.16,4.244999999999999,5.485,5.6899999999999995,4.635,5.745
-18,5.95,6.279999999999999,5.875,6.1049999999999995,5.66,5.995,5.915000000000001,4.470000000000001,5.61,5.795,4.72,5.709999999999999
-17,5.74,6.04,6.095,5.945,5.680000000000001,5.95,5.935,4.965000000000001,5.575,6.2,4.895,5.9799999999999995
-16,5.78,6.08,6.18,5.705,5.505000000000001,5.82,5.79,5.165,5.645,6.38,5.095000000000001,6.205
-15,5.88,6.18,6.375,5.745,5.615,5.82,5.51,5.194999999999999,5.819999999999999,6.345000000000001,4.904999999999999,6.299999999999999
-14,5.865,6.165,6.375,5.775,5.6899999999999995,5.89,5.46,5.44,5.71,6.414999999999999,5.1499999999999995,6.555
-13,5.935,6.205,6.33,5.725,5.459999999999999,5.805,5.445,5.209999999999999,6.015,6.659999999999999,5.24,6.425
-12,5.775,5.964999999999999,6.409999999999999,5.945,5.540000000000001,5.605,5.4,5.24,6.404999999999999,6.675,5.365,6.55
-11,5.515,6.185,6.359999999999999,5.8950000000000005,5.65,5.66,5.185,5.575,6.409999999999999,6.455,5.4399999999999995,6.55
-10,5.735,6.025,6.285,5.715,5.805,5.525,4.985,5.75,6.125,6.365,5.659999999999999,6.739999999999999
-9,5.74,5.91,6.26,5.63,5.89,5.55,4.8100000000000005,6.045,6.085,6.085,5.994999999999999,6.6899999999999995
-8,5.695,5.715,6.45,5.545,5.795,5.529999999999999,5.035,5.995,6.38,5.945,6.029999999999999,6.614999999999999
-7,5.784999999999999,6.055000000000001,6.63,5.385,5.799999999999999,5.5600000000000005,5.325,6.109999999999999,6.4,5.735,6.0600000000000005,6.745
-6,5.68,6.055,6.595000000000001,5.279999999999999,5.859999999999999,5.65,5.33,6.145,6.095,5.84,6.459999999999999,6.8
-5,5.8149999999999995,6.135,6.62,5.385,6.125,5.930000000000001,5.365,6.25,6.095,6.090000000000001,6.529999999999999,6.7
-4,5.975,6.26,6.67,5.335,6.225,5.93,5.4799999999999995,6.220000000000001,6.095,6.07,6.57,6.385
-3,5.874999999999999,5.885,6.545,5.09,6.225,6.194999999999999,5.3,6.325,5.970000000000001,6.090000000000001,6.589999999999999,6.34
-2,5.92,5.99,6.445,5.14,6.225,6.165,5.085,6.5,5.819999999999999,6.25,6.685,6.0
-1,5.985,5.88,6.475,5.0600000000000005,6.225,6.0649999999999995,5.055000000000001,6.31,6.1049999999999995,6.2700000000000005,6.789999999999999,6.095
0,5.915,5.955,6.325,5.034999999999999,6.45,6.135,5.05,6.35,5.945,6.404999999999999,6.74,6.225
1,5.845,5.744999999999999,6.225,5.3,6.45,6.414999999999999,4.975,6.734999999999999,5.970000000000001,6.779999999999999,6.894999999999999,6.205
2,5.865,5.855,6.35,5.585,6.385,6.03,5.255,6.4350000000000005,5.709999999999999,6.725,6.840000000000001,6.335
3,5.915,5.885,6.15,5.615,6.345,6.04,5.355,6.225,5.619999999999999,6.45,6.609999999999999,5.8549999999999995
4,5.8549999999999995,5.845,6.205,5.79,6.2749999999999995,6.279999999999999,5.585,6.095000000000001,5.425,6.115,6.255,5.369999999999999
5,5.68,5.715,6.135,5.505000000000001,5.89,6.385,5.91,6.215,5.385,6.165,6.225,5.42
6,5.7299999999999995,5.54,6.0200000000000005,5.595000000000001,5.734999999999999,6.165,6.01,5.949999999999999,5.515,6.26,6.16,5.52
7,5.71,5.494999999999999,5.735,5.715,5.89,6.16,5.970000000000001,6.0,5.21,6.135,6.07,5.475
8,5.6899999999999995,5.705,5.8149999999999995,5.27,5.91,5.915,5.925,5.965,5.255000000000001,6.2299999999999995,6.015,5.385
9,5.9,5.715,5.865,5.51,5.655,5.9350000000000005,5.975,5.89,5.4399999999999995,6.15,5.76,5.26
