,TSS_1::NC_013691.1:27792-27992(-),TSS_2::NC_013691.1:29587-29787(-),TSS_3::NC_013691.1:36871-37071(-),TSS_4::NC_013691.1:41017-41217(-),TSS_5::NC_013691.1:53132-53332(-),TSS_6::NC_013691.1:53953-54153(-),TSS_7::NC_013691.1:55711-55911(-),TSS_8::NC_013691.1:57205-57405(-),TSS_9::NC_013691.1:62400-62600(-),TSS_10::NC_013691.1:62718-62918(-),TSS_11::NC_013691.1:64944-65144(-),TSS_12::NC_013691.1:65569-65769(-),TSS_13::NC_013691.1:68555-68755(-),mean
-100,,,,,,,,,,,,,,
-99,,,,,,,,,,,,,,
-98,,,,,,,,,,,,,,
-97,,,,,,,,,,,,,,
-96,,,,,,,,,,,,,,
-95,,,,,,,,,,,,,,
-94,,,,,,,,,,,,,,
-93,,,,,,,,,,,,,,
-92,,,,,,,,,,,,,,
-91,,,,,,,,,,,,,,
-90,,,,,,,,,,,,,,
-89,,,,,,,,,,,,,,
-88,,,,,,,,,,,,,,
-87,,,,,,,,,,,,,,
-86,,,,,,,,,,,,,,
-85,,,,,,,,,,,,,,
-84,,,,,,,,,,,,,,
-83,,,,,,,,,,,,,,
-82,,,,,,,,,,,,,,
-81,0.04449949565552759,0.07136870875266799,0.04343826076489984,0.0261136724630918,0.032948818881454525,0.06072092495315584,0.08653661240918728,0.1335829044076356,0.05567209251371304,0.030895273896075846,0.025654796081641607,0.06797329708380864,0.04187866194793184,0.05548334767775319
-80,0.05364489424959956,0.08144912928140248,0.04888922207191552,0.03088610886980509,0.036455255087690604,0.06790101952738752,0.09071603353437023,0.14239749832227072,0.0597461438784362,0.03434139494209627,0.02892214866147984,0.07201183934316488,0.044974598912051356,0.06094886820628233
-79,0.06335623889521655,0.09138565197135984,0.055148531230134634,0.03636558843128415,0.04014265320540657,0.07511111637462614,0.09459066619239384,0.1493674165190134,0.06410178821898424,0.038120567242060366,0.03146985597919833,0.07530798120168768,0.047376409950897244,0.06629572810863561
