,TSS_1::Pseudomonas_phage_phiKZ:3,TSS_2::Pseudomonas_phage_phiKZ:2,TSS_3::Pseudomonas_phage_phiKZ:2,TSS_4::Pseudomonas_phage_phiKZ:4,TSS_5::Pseudomonas_phage_phiKZ:4,TSS_6::Pseudomonas_phage_phiKZ:2,TSS_7::Pseudomonas_phage_phiKZ:2,TSS_8::Pseudomonas_phage_phiKZ:2,TSS_9::Pseudomonas_phage_phiKZ:3,TSS_10::Pseudomonas_phage_phiKZ:,TSS_11::Pseudomonas_phage_phiKZ:,TSS_12::Pseudomonas_phage_phiKZ:,TSS_13::Pseudomonas_phage_phiKZ:,TSS_14::Pseudomonas_phage_phiKZ:,TSS_15::Pseudomonas_phage_phiKZ:,TSS_16::Pseudomonas_phage_phiKZ:,TSS_17::Pseudomonas_phage_phiKZ:,TSS_18::Pseudomonas_phage_phiKZ:,TSS_19::Pseudomonas_phage_phiKZ:,TSS_20::Pseudomonas_phage_phiKZ:,TSS_21::Pseudomonas_phage_phiKZ:,TSS_22::Pseudomonas_phage_phiKZ:,TSS_23::Pseudomonas_phage_phiKZ:,TSS_24::Pseudomonas_phage_phiKZ:,TSS_25::Pseudomonas_phage_phiKZ:,TSS_26::Pseudomonas_phage_phiKZ:,TSS_27::Pseudomonas_phage_phiKZ:,TSS_28::Pseudomonas_phage_phiKZ:,TSS_29::Pseudomonas_phage_phiKZ:,TSS_30::Pseudomonas_phage_phiKZ:,TSS_31::Pseudomonas_phage_phiKZ:,TSS_32::Pseudomonas_phage_phiKZ:,TSS_33::Pseudomonas_phage_phiKZ:,TSS_34::Pseudomonas_phage_phiKZ:,TSS_35::Pseudomonas_phage_phiKZ:,TSS_36::Pseudomonas_phage_phiKZ:,TSS_37::Pseudomonas_phage_phiKZ:,TSS_38::Pseudomonas_phage_phiKZ:,TSS_39::Pseudomonas_phage_phiKZ:,TSS_40::Pseudomonas_phage_phiKZ:,TSS_41::Pseudomonas_phage_phiKZ:,TSS_42::Pseudomonas_phage_phiKZ:,TSS_43::Pseudomonas_phage_phiKZ:,TSS_44::Pseudomonas_phage_phiKZ:,TSS_45::Pseudomonas_phage_phiKZ:,TSS_46::Pseudomonas_phage_phiKZ:,TSS_47::Pseudomonas_phage_phiKZ:,TSS_48::Pseudomonas_phage_phiKZ:,TSS_49::Pseudomonas_phage_phiKZ:,mean
-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
