,TTS_POS_1::NC_013691.1:415-515(+),TTS_POS_2::NC_013691.1:1484-1584(+),TTS_POS_3::NC_013691.1:2651-2751(+),TTS_POS_4::NC_013691.1:4049-4149(+),TTS_POS_5::NC_013691.1:4353-4453(+),TTS_POS_6::NC_013691.1:5568-5668(+),TTS_POS_7::NC_013691.1:6895-6995(+),TTS_POS_8::NC_013691.1:8773-8873(+),TTS_POS_9::NC_013691.1:9914-10014(+),TTS_POS_10::NC_013691.1:10461-10561(+),TTS_POS_11::NC_013691.1:11433-11533(+),TTS_POS_12::NC_013691.1:12691-12791(+),TTS_POS_13::NC_013691.1:17317-17417(+),TTS_POS_14::NC_013691.1:20134-20234(+),TTS_POS_15::NC_013691.1:21004-21104(+),TTS_POS_16::NC_013691.1:21152-21252(+),TTS_POS_17::NC_013691.1:22038-22138(+),TTS_POS_18::NC_013691.1:26268-26368(+),TTS_POS_19::NC_013691.1:26946-27046(+),TTS_POS_20::NC_013691.1:27806-27906(+),TTS_POS_21::NC_013691.1:28895-28995(+),TTS_POS_22::NC_013691.1:35254-35354(+),TTS_POS_23::NC_013691.1:39324-39424(+),TTS_POS_24::NC_013691.1:40088-40188(+),TTS_POS_25::NC_013691.1:40975-41075(+),TTS_POS_26::NC_013691.1:42179-42279(+),TTS_POS_27::NC_013691.1:42691-42791(+),TTS_POS_28::NC_013691.1:42861-42961(+),TTS_POS_29::NC_013691.1:42960-43060(+),TTS_POS_30::NC_013691.1:43576-43676(+),TTS_POS_31::NC_013691.1:43754-43854(+),TTS_POS_32::NC_013691.1:44836-44936(+),TTS_POS_33::NC_013691.1:47860-47960(+),TTS_POS_34::NC_013691.1:59924-60024(+),TTS_POS_35::NC_013691.1:65396-65496(+),TTS_NEG_1::NC_013691.1:3299-3399(-),TTS_NEG_2::NC_013691.1:11384-11484(-),TTS_NEG_3::NC_013691.1:12555-12655(-),TTS_NEG_4::NC_013691.1:12619-12719(-),TTS_NEG_5::NC_013691.1:27766-27866(-),TTS_NEG_6::NC_013691.1:28175-28275(-),TTS_NEG_7::NC_013691.1:33525-33625(-),TTS_NEG_8::NC_013691.1:36571-36671(-),TTS_NEG_9::NC_013691.1:38624-38724(-),TTS_NEG_10::NC_013691.1:40906-41006(-),TTS_NEG_11::NC_013691.1:53890-53990(-),TTS_NEG_12::NC_013691.1:55368-55468(-),TTS_NEG_13::NC_013691.1:55451-55551(-),TTS_NEG_14::NC_013691.1:59058-59158(-),TTS_NEG_15::NC_013691.1:59893-59993(-),TTS_NEG_16::NC_013691.1:61283-61383(-),TTS_NEG_17::NC_013691.1:62256-62356(-),TTS_NEG_18::NC_013691.1:65400-65500(-)
-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
