,TTS_1::NC_010326.1:1654-1754(+),TTS_2::NC_010326.1:1718-1818(+),TTS_3::NC_010326.1:2802-2902(+),TTS_4::NC_010326.1:4998-5098(+),TTS_5::NC_010326.1:21365-21465(+),TTS_6::NC_010326.1:22303-22403(+),TTS_7::NC_010326.1:22441-22541(+),TTS_8::NC_010326.1:22535-22635(+),TTS_9::NC_010326.1:25811-25911(+),TTS_10::NC_010326.1:36246-36346(+),TTS_1::NC_010326.1:91-191(-),TTS_2::NC_010326.1:407-507(-)
-50,,,,,,,,,,,,
-49,,,,,,,,,,,,
-48,,,,,,,,,,,,
-47,,,,,,,,,,,,
-46,,,,,,,,,,,,
-45,,,,,,,,,,,,
-44,,,,,,,,,,,,
-43,,,,,,,,,,,,
-42,,,,,,,,,,,,
-41,,,,,,,,,,,,
-40,,,,,,,,,,,,
-39,,,,,,,,,,,,
-38,,,,,,,,,,,,
-37,,,,,,,,,,,,
-36,,,,,,,,,,,,
-35,,,,,,,,,,,,
-34,,,,,,,,,,,,
-33,,,,,,,,,,,,
-32,,,,,,,,,,,,
-31,5.895,5.825,6.025,5.529999999999999,6.734999999999999,5.455,5.52,5.495,5.975,5.51,5.8149999999999995,6.565
-30,6.145,5.795,5.75,5.45,6.769999999999999,5.415,5.52,5.590000000000001,5.545,5.71,5.715,6.529999999999999
-29,5.975,5.7,5.715,5.345000000000001,6.67,5.39,5.595,5.709999999999999,5.445,5.779999999999999,5.82,6.589999999999999
-28,5.93,5.855,5.5249999999999995,5.655,6.35,5.505,5.5649999999999995,5.51,5.205,5.834999999999999,5.545,6.734999999999999
-27,5.775,5.96,5.44,5.54,6.3,5.345,5.285,5.720000000000001,5.15,6.055,5.545,6.834999999999999
-26,6.085,5.775,5.285,5.33,6.33,5.084999999999999,5.1450000000000005,5.665000000000001,5.175,6.265,5.805,6.85
-25,6.31,5.805,5.215,5.245,6.4,5.305,5.37,5.38,5.175,6.234999999999999,5.7299999999999995,6.970000000000001
-24,6.595000000000001,6.125,5.26,5.194999999999999,6.42,5.285,5.11,5.529999999999999,5.175,6.185,5.6,6.88
-23,6.755,6.455,5.0649999999999995,5.279999999999999,6.505,5.17,5.18,5.694999999999999,5.334999999999999,6.02,5.72,6.959999999999999
-22,6.849999999999999,6.435,5.1899999999999995,5.475,6.04,5.255,5.175,5.735,5.415,5.795,5.455,7.1
-21,6.404999999999999,6.244999999999999,5.39,5.38,5.96,4.96,5.154999999999999,5.7700000000000005,5.175,5.970000000000001,5.51,7.15
-20,6.214999999999999,6.115,5.435,5.709999999999999,5.78,5.17,5.01,5.71,4.885,6.27,5.4799999999999995,7.040000000000001
-19,6.034999999999999,5.904999999999999,5.81,5.455,5.91,5.1,4.83,5.8950000000000005,4.96,5.9350000000000005,5.59,6.909999999999999
-18,5.984999999999999,5.89,5.815,5.385,5.970000000000001,5.135,4.905,5.815,4.8149999999999995,6.18,5.635,7.109999999999999
-17,6.04,5.935,5.705,5.625,5.970000000000001,5.125,4.925,5.655,4.59,6.22,5.494999999999999,7.1899999999999995
-16,6.35,6.02,5.79,5.659999999999999,5.895,5.055,4.86,5.41,4.44,6.265,5.5649999999999995,7.17
-15,5.995,5.89,5.9,5.375,5.475,4.775,4.805,5.459999999999999,4.745,6.295,5.715,7.244999999999999
-14,5.985,5.89,5.885,5.3100000000000005,5.285,4.705,4.405,5.49,4.695,6.305,5.7700000000000005,7.08
-13,5.904999999999999,5.59,5.6,5.459999999999999,5.45,4.93,4.369999999999999,5.455,4.775,6.295,5.859999999999999,6.989999999999999
-12,5.659999999999999,5.7,5.4399999999999995,5.46,5.4,4.709999999999999,4.615,5.43,4.5200000000000005,6.1049999999999995,5.77,6.695
-11,5.6850000000000005,5.455,5.515,5.630000000000001,5.2,4.845000000000001,4.57,5.165000000000001,4.55,5.984999999999999,5.8,6.720000000000001
-10,5.4799999999999995,5.6049999999999995,5.825,5.735,5.135,5.035,4.515,5.165000000000001,4.83,6.005,6.109999999999999,6.445
-9,5.175,5.745,5.76,5.909999999999999,5.1899999999999995,5.119999999999999,4.54,5.0649999999999995,5.01,5.904999999999999,5.93,6.34
-8,5.205,5.694999999999999,5.73,5.734999999999999,5.22,5.2,4.404999999999999,4.835,4.83,5.875,6.1049999999999995,6.164999999999999
-7,5.3950000000000005,5.595,5.52,5.7299999999999995,5.185,5.385,4.659999999999999,4.835,4.55,5.545,6.135,6.06
-6,5.284999999999999,5.834999999999999,5.5200000000000005,5.695,5.205,5.54,4.5,4.84,4.5200000000000005,5.515,6.135,5.885
-5,5.11,5.595,5.75,5.75,5.16,5.675,4.42,5.180000000000001,4.695,5.3149999999999995,6.205,5.77
