,TSS_1::NC_013691.1:0-200(),TSS_2::NC_013691.1:711-911(),TSS_3::NC_013691.1:3582-3782(),TSS_4::NC_013691.1:3615-3815(),TSS_5::NC_013691.1:8160-8360(),TSS_6::NC_013691.1:9444-9644(),mean
-100,,,,,,,
-99,,,,,,,
-98,,,,,,,
-97,,,,,,,
-96,,,,,,,
-95,,,,,,,
-94,,,,,,,
-93,,,,,,,
-92,,,,,,,
-91,,,,,,,
-90,,,,,,,
-89,,,,,,,
-88,,,,,,,
-87,,,,,,,
-86,,,,,,,
-85,,,,,,,
-84,,,,,,,
-83,,,,,,,
-82,,,,,,,
-81,-1.3,-1.3,-1.44,-1.1400000000000001,-1.44,-1.3,-1.3199999999999998
-80,-1.3,-1.3,-1.44,-1.1400000000000001,-1.44,-1.3,-1.3199999999999998
-79,-1.3,-1.3,-1.44,-1.28,-1.44,-1.29,-1.3416666666666668
-78,-1.3,-1.3,-1.4449999999999998,-1.28,-1.44,-1.3,-1.344166666666667
-77,-1.37,-1.3,-1.4449999999999998,-1.28,-1.44,-1.3,-1.3558333333333337
-76,-1.37,-1.3,-1.4449999999999998,-1.28,-1.44,-1.3,-1.3558333333333337
-75,-1.37,-1.3,-1.4449999999999998,-1.28,-1.44,-1.3,-1.3558333333333337
-74,-1.3,-1.3,-1.44,-1.29,-1.44,-1.3,-1.345
-73,-1.3,-1.29,-1.44,-1.37,-1.44,-1.29,-1.3549999999999998
-72,-1.3,-1.28,-1.44,-1.3599999999999999,-1.44,-1.29,-1.3516666666666666
-71,-1.3,-1.29,-1.44,-1.28,-1.44,-1.3,-1.3416666666666668
-70,-1.37,-1.3,-1.44,-1.28,-1.44,-1.3,-1.3550000000000002
-69,-1.44,-1.29,-1.44,-1.28,-1.44,-1.3,-1.3650000000000002
-68,-1.44,-1.28,-1.44,-1.28,-1.44,-1.3,-1.3633333333333335
-67,-1.44,-1.29,-1.44,-1.28,-1.44,-1.3,-1.3650000000000002
-66,-1.4449999999999998,-1.3,-1.37,-1.28,-1.44,-1.3,-1.3558333333333337
