,TSS_POS_1::NC_022970.1:30-130(+),TSS_POS_2::NC_022970.1:133-233(+),TSS_POS_3::NC_022970.1:230-330(+),TSS_POS_4::NC_022970.1:6097-6197(+),TSS_POS_5::NC_022970.1:9533-9633(+),TSS_POS_6::NC_022970.1:12908-13008(+),TSS_POS_7::NC_022970.1:12973-13073(+),TSS_POS_8::NC_022970.1:17916-18016(+),TSS_POS_9::NC_022970.1:18076-18176(+),TSS_POS_10::NC_022970.1:18460-18560(+),TSS_POS_11::NC_022970.1:18668-18768(+),TSS_POS_12::NC_022970.1:23052-23152(+),TSS_POS_13::NC_022970.1:24853-24953(+),TSS_POS_14::NC_022970.1:25327-25427(+),TSS_POS_15::NC_022970.1:25919-26019(+),TSS_POS_16::NC_022970.1:26611-26711(+),TSS_POS_17::NC_022970.1:26907-27007(+),TSS_POS_18::NC_022970.1:29685-29785(+),TSS_POS_19::NC_022970.1:29946-30046(+),TSS_POS_20::NC_022970.1:30788-30888(+),TSS_POS_21::NC_022970.1:31243-31343(+),TSS_POS_22::NC_022970.1:31271-31371(+),TSS_POS_23::NC_022970.1:36240-36340(+),TSS_POS_24::NC_022970.1:41126-41226(+),TSS_POS_25::NC_022970.1:41959-42059(+),TSS_POS_26::NC_022970.1:44447-44547(+),TSS_POS_27::NC_022970.1:46590-46690(+),TSS_POS_28::NC_022970.1:46901-47001(+),TSS_POS_29::NC_022970.1:47208-47308(+),TSS_POS_30::NC_022970.1:47869-47969(+),TSS_POS_31::NC_022970.1:48369-48469(+),TSS_POS_32::NC_022970.1:50979-51079(+),TSS_POS_33::NC_022970.1:51701-51801(+),TSS_POS_34::NC_022970.1:51834-51934(+),TSS_POS_35::NC_022970.1:51874-51974(+),TSS_POS_36::NC_022970.1:52594-52694(+),TSS_POS_37::NC_022970.1:52916-53016(+),TSS_POS_38::NC_022970.1:54291-54391(+),TSS_POS_39::NC_022970.1:54406-54506(+),TSS_POS_40::NC_022970.1:55189-55289(+),TSS_POS_41::NC_022970.1:55363-55463(+),TSS_POS_42::NC_022970.1:55582-55682(+),TSS_POS_43::NC_022970.1:56266-56366(+),TSS_POS_44::NC_022970.1:57008-57108(+),TSS_POS_45::NC_022970.1:57338-57438(+),TSS_POS_46::NC_022970.1:57950-58050(+),TSS_POS_47::NC_022970.1:58923-59023(+),TSS_POS_48::NC_022970.1:59299-59399(+),TSS_POS_49::NC_022970.1:59880-59980(+),TSS_POS_50::NC_022970.1:60466-60566(+),TSS_POS_51::NC_022970.1:63642-63742(+),TSS_POS_52::NC_022970.1:63785-63885(+),TSS_POS_53::NC_022970.1:64047-64147(+),TSS_POS_54::NC_022970.1:65102-65202(+),TSS_POS_55::NC_022970.1:66352-66452(+),TSS_POS_56::NC_022970.1:70707-70807(+),TSS_POS_57::NC_022970.1:71468-71568(+),TSS_POS_58::NC_022970.1:72334-72434(+),TSS_POS_59::NC_022970.1:84251-84351(+),TSS_POS_60::NC_022970.1:84563-84663(+),TSS_POS_61::NC_022970.1:84982-85082(+),TSS_POS_62::NC_022970.1:85425-85525(+),TSS_POS_63::NC_022970.1:85903-86003(+),TSS_NEG_1::NC_022970.1:739-839(-),TSS_NEG_2::NC_022970.1:2868-2968(-),TSS_NEG_3::NC_022970.1:5440-5540(-),TSS_NEG_4::NC_022970.1:5784-5884(-),TSS_NEG_5::NC_022970.1:76151-76251(-),TSS_NEG_6::NC_022970.1:78070-78170(-),TSS_NEG_7::NC_022970.1:78911-79011(-),TSS_NEG_8::NC_022970.1:79467-79567(-),TSS_NEG_9::NC_022970.1:80400-80500(-),TSS_NEG_10::NC_022970.1:82074-82174(-),TSS_NEG_11::NC_022970.1:83149-83249(-)
-70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-60,0.016993366138621048,0.005183611964754722,0.009755825308936626,0.027959320698104955,0.01053141413559697,0.03255412009665111,0.0018217617314324392,0.01488731441129892,0.00536334917649486,0.013722153791461345,0.013946557801278108,0.02448417974351018,0.041774557196817,0.016108546795088986,0.002395867042254334,0.015321389383180737,0.009988945667557448,0.009899378036772353,0.008921975283596877,0.017744702694455883,0.015519574662178653,0.012690606754497805,0.007979914334652559,0.013568682851016495,0.010242905786819577,0.02460358632575465,0.017538928589441827,0.009602675758887319,0.019956126471219977,0.028416529226477312,0.02021211033240161,0.010778036262320424,0.014240865962945614,0.020920308330589187,0.009973212268893507,0.024005422646955436,0.01230806545378623,0.006728224935650157,0.023628545665575075,0.026604804285891515,0.0037552816206013126,0.017318366370460615,0.0027984822716208666,0.004047528332095622,0.02260711936376839,0.006965449301800539,0.009990829765388731,0.014275878164973364,0.03013441406334364,0.01092950190906149,0.013068362990040572,0.020808421954417754,0.014616251063803829,0.012649392080260788,0.017550770008125667,0.008971100984531048,0.01732730193289634,0.01944141938981335,0.014978228443201486,0.003340784295207802,0.007313568417786391,0.008937637452257981,0.02811704664681261,0.015624267163575655,0.008859681306196429,0.005740629015597556,0.01669375227011812,0.009128164912632856,0.017598104295884213,0.002022259082505525,0.021665774320853894,0.028529561781819895,0.011818656196810797,0.02431038544420088
-59,0.036176325851008675,0.012265487395687915,0.017698731324156745,0.05370733116705066,0.017467054636368304,0.06088702610688128,0.0027337204044820965,0.03018938991349216,0.009408615700075148,0.02816701364540037,0.02802676087997023,0.04987219405855484,0.08554601248719566,0.03461241709269275,0.0028216817009415075,0.029121733840398047,0.01953048470533107,0.01822792659863693,0.019233072414099002,0.034353779461589365,0.02971864712279621,0.030271830080974116,0.01844668902731042,0.02685687766419361,0.023060303596447552,0.048520341768165054,0.03436364255338319,0.018016449321351796,0.037308832006089046,0.05389920723061605,0.04311869468563776,0.017812604871507817,0.029369749956414764,0.041847250529577995,0.01751946706566891,0.04641982889743532,0.024877160264714183,0.015405904768348133,0.04820015205913174,0.054166917839521045,0.011574888470785638,0.03342396637521753,0.005573761918547644,0.0090053531008961,0.04837647628269035,0.011739548346754647,0.021657910515822852,0.028352869812342606,0.0579859929390385,0.020969750375134506,0.029879309685679596,0.03918606319757232,0.031234760297423364,0.021805230613829035,0.03500013744819162,0.01857649701232041,0.030081021588257106,0.036170749455605535,0.029141393842572715,0.005711122766494188,0.013580515141483082,0.016798271043624115,0.055688895190654564,0.032665842531430546,0.017130473078547006,0.013195644573749759,0.03582042434611236,0.020638783635561358,0.03644931693713353,0.004971628795460848,0.042321817198911135,0.05538991757455351,0.02555800170165686,0.054398807980892916
