,TSS_POS_1::NC_011703.1:18629-18729(+),TSS_POS_2::NC_011703.1:23777-23877(+),TSS_POS_3::NC_011703.1:28248-28348(+),TSS_POS_4::NC_011703.1:53027-53127(+),TSS_POS_5::NC_011703.1:53093-53193(+),TSS_NEG_1::NC_011703.1:677-777(-),TSS_NEG_2::NC_011703.1:4449-4549(-),TSS_NEG_3::NC_011703.1:6607-6707(-),TSS_NEG_4::NC_011703.1:8654-8754(-),TSS_NEG_5::NC_011703.1:9086-9186(-),TSS_NEG_6::NC_011703.1:39451-39551(-),TSS_NEG_7::NC_011703.1:40165-40265(-),TSS_NEG_8::NC_011703.1:49204-49304(-),TSS_NEG_9::NC_011703.1:51287-51387(-),TSS_NEG_10::NC_011703.1:53043-53143(-),TSS_NEG_11::NC_011703.1:61270-61370(-),TSS_NEG_12::NC_011703.1:62387-62487(-),TSS_NEG_13::NC_011703.1:65210-65310(-)
-70,,,,,,,,,,,,,,,,,,
-69,,,,,,,,,,,,,,,,,,
-68,,,,,,,,,,,,,,,,,,
-67,,,,,,,,,,,,,,,,,,
-66,,,,,,,,,,,,,,,,,,
-65,,,,,,,,,,,,,,,,,,
-64,,,,,,,,,,,,,,,,,,
-63,,,,,,,,,,,,,,,,,,
-62,,,,,,,,,,,,,,,,,,
-61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-60,0.007818173050327951,0.00026514777388559165,0.00827344755976453,0.006890853313564429,0.02770778721101185,0.005047463393814376,0.023565010277047833,0.007242420147984925,0.02620897978220214,0.008447548870676587,0.030277051231268635,0.019917509436161968,0.0069656444412854,0.0067906660750705365,0.017043084371014018,0.0174315285021155,0.016535905380851847,0.02458422095918665
-59,0.01506939106324633,0.0017566848645277282,0.015642140181137992,0.014769810936681907,0.054944322026240035,0.012985418393138288,0.05117363906649364,0.013642778079760883,0.05398408446099976,0.019141250598265065,0.05926607545195077,0.0414066298571205,0.015268070923741864,0.015279128602418274,0.03336502972305847,0.03396718260134587,0.03520519051788317,0.0477273208910011
-58,0.0232854443640959,0.004745884782610817,0.022207271888292097,0.02496577908638792,0.082693383502229,0.024384257155823423,0.08232908743511853,0.019609487848578706,0.08382740419254446,0.03134492612824092,0.08647336414687312,0.06362108976270281,0.02391518748387871,0.024639246882940204,0.049665441301596905,0.04984950946033255,0.05381853182406928,0.06853194748072908
-57,0.03296418222645871,0.009880371463391492,0.027870029776340642,0.0373662648500885,0.11181381012582954,0.0391460133961092,0.11471235322918778,0.026571036098150935,0.11590073601152968,0.04392300951108135,0.11005259751953486,0.08697317456911251,0.03338287141910405,0.03458139692226701,0.06652551532775614,0.06629090926022109,0.07212374883492462,0.08696940492943592
-56,0.04177660297165511,0.017880960398339592,0.03380751663869711,0.05187773773326303,0.1420395650603487,0.057833436274790415,0.14829076240747993,0.03451217197957295,0.1486938485186404,0.055553958750220137,0.12982373795850696,0.1111732923457431,0.043584879340518676,0.04477019236344699,0.08325453300474388,0.08352110618919303,0.09043814900761668,0.10276143823765713
-55,0.0479804358875511,0.02801989882836573,0.039405535115658204,0.06655854442468931,0.172223922124681,0.0800766126460033,0.18238767257685737,0.04298860126876421,0.17956264985381426,0.06665164415506586,0.14597226908546562,0.13627402534764968,0.054842370819379115,0.05465619413639868,0.09877460648454377,0.10142052606400027,0.10756909445035596,0.11634667940845841
-54,0.05207819103639723,0.040129181437095485,0.04425154637085514,0.08091871105242848,0.202547570377461,0.10500974125302831,0.21687185327606517,0.05193718896991787,0.2078155200838082,0.07646461128671697,0.15744537324994498,0.16145322444155222,0.06840607610260213,0.0643186892772237,0.11380168757104958,0.11974817042084467,0.12154120345359773,0.12831368263402376
-53,0.05507192262641543,0.05421639912343891,0.04949987776827969,0.0949330189163439,0.23304514802948226,0.13153146697542697,0.2501757572750639,0.060644528609919,0.23375630852145113,0.08401448881701623,0.16394837105384158,0.18632411675032973,0.08429007251289253,0.07450488820185616,0.12885316106922975,0.13768647574882603,0.13165291101256815,0.13821640905724944
-52,0.058876106592225176,0.0687595707805985,0.05822956477676124,0.10805883399092871,0.26386097597850167,0.158101134593229,0.28076221797396067,0.06949800137353351,0.25849183860420055,0.08802406883470283,0.16762646842638657,0.21023251082950165,0.10186865724452857,0.08479654421925116,0.14392357430576133,0.15676530830536467,0.13836915342110928,0.14611932159983151
-51,0.06564614832677296,0.08049273038503033,0.07075816942341392,0.12026505514676196,0.29493984642902793,0.18348906583747482,0.30917760705814235,0.07816292845040491,0.2827518743144696,0.0893769820297931,0.17127940938688044,0.23294523875091913,0.12095147075048933,0.09614908313146389,0.16016450505459817,0.17713943496456525,0.1441327601428238,0.1525032635480304
-50,0.06731556118303587,0.08951512690077496,0.07869359191201707,0.12471626656358603,0.2988241679776092,0.2029833771653394,0.31216285423942053,0.08034267377023345,0.28049122399673954,0.08523976930110402,0.14725159106214747,0.23508817610789196,0.13404846672315693,0.1030388194436312,0.1606923060288812,0.18145211673860395,0.13577626290155526,0.1343895092453527
-49,0.07270252813582886,0.09637586108643657,0.0910999438204676,0.12702663489662397,0.30384888964791174,0.2189821935631157,0.30927945144879404,0.08513598965823951,0.2781605506773002,0.08298833212926107,0.12810452636628927,0.2347431664933537,0.14548547166746348,0.11100970029861786,0.16427793112880587,0.1881860760100353,0.12835989864400452,0.11801965034856696
-48,0.08034466153365058,0.1021019308083682,0.10705465112289572,0.12565116426086698,0.3075790434597106,0.23128202370512102,0.3009224937135262,0.09269862130948217,0.2745386009585504,0.08253089245708685,0.11431775084107258,0.23284020152491086,0.1535874415887798,0.12118560745400857,0.17064737464598423,0.19737947316290883,0.12196438315856875,0.10405870065132479
-47,0.08988959748038128,0.10753548507989937,0.1258020064823969,0.12197536896422304,0.306934351031712,0.24095070425179207,0.2905279498713286,0.10104100333691042,0.2701965635949894,0.08368168572864956,0.10646214102848602,0.22945689993033175,0.15602516090100646,0.13364970998924602,0.17936429791601377,0.20729052010124746,0.11653592397094377,0.09272471257380875
-46,0.10172645671966549,0.11266503428691999,0.1452690627703812,0.11677448996359778,0.3022855933933813,0.24597998032071194,0.2791019977176533,0.10925448925061036,0.26646985484561925,0.08642470052749748,0.10486280878044119,0.22655356522265718,0.15251932364823323,0.147947178921002,0.19111101443462847,0.2175259836438345,0.11201107322552387,0.08487202388935791
-45,0.11652054919422217,0.11606821780501601,0.16625469996505188,0.11096792058318272,0.2947710914247656,0.24515465959004126,0.2682031571777646,0.1178529360583545,0.2666080552016303,0.09078878016353367,0.11028035768988362,0.2226075436552918,0.1458860897409392,0.1616230345171972,0.20707015624261577,0.22799057284696658,0.10974682821116026,0.07998097294957118
-44,0.1340450788254432,0.11678317827212314,0.18884698582933426,0.10535062259190739,0.28435501362395427,0.23778521398730681,0.2578219196778442,0.12686761586772752,0.2718770816828921,0.09723887046254692,0.12242965653522245,0.21736680099527703,0.14028239396950126,0.17285425653897565,0.22430433164164015,0.2377868326586377,0.11158259369087302,0.07745642030528703
-43,0.15325319077563865,0.11448154204780317,0.21048955280831202,0.10134931521321193,0.2714283213172301,0.22478023221340787,0.2501299221621401,0.13668836315169539,0.28072271783605346,0.10588883380011187,0.14019494570608396,0.2118530916975745,0.1381622576587439,0.17990804338632416,0.24084496690305301,0.2467157091998843,0.11770485460930832,0.07864335169876371
-42,0.17158937734049434,0.11146244253795912,0.22717431847702502,0.09972819358110568,0.25685342411704715,0.20907497819270052,0.24706440635079935,0.14554109645958646,0.29029346802029155,0.11648751720312009,0.1618110595839525,0.20643187864685913,0.1385940957278983,0.1832207975424318,0.25685342411704803,0.2523606993624633,0.12585362949967788,0.08414163016140563
-41,0.1859219473744218,0.10931586847994774,0.23839777321466754,0.10024350071337362,0.2408449669030523,0.19370783641706762,0.24618489231533153,0.1539958184358008,0.30024379184345057,0.12765903833990394,0.18468864536733479,0.20044548956173064,0.14052507284732865,0.1800480891755996,0.2714283213172308,0.254015972509677,0.13356704157921853,0.09339295315061358
-40,0.19720232756959039,0.1079097085321606,0.2441883324327661,0.10325097870224127,0.22430433164163904,0.17947543489494794,0.245879001966766,0.16131557884066017,0.31028321053555374,0.13340305423443974,0.20458454109965354,0.19206858146769293,0.14464718686279848,0.16962408647062127,0.2843550136239549,0.25189777556494064,0.13848601535873845,0.1050531544498536
-39,0.20461390391057047,0.10793303991617513,0.2441306151380928,0.10851626219479153,0.20707015624261307,0.16696515604239776,0.24608527369534308,0.16486772490475315,0.31777219958861985,0.13174838570203656,0.21941688897372652,0.18216147621544895,0.15122873850464824,0.1553693406539924,0.29477109142476554,0.24651230838652224,0.14013939514952486,0.11836134107619278
-38,0.20790571509936268,0.10923550701437748,0.23840146540950183,0.11579866236296843,0.19111101443462544,0.15600808205050304,0.24695415567203988,0.1650637818679874,0.3229822976459707,0.12348144278271969,0.22897681605331338,0.17081392092876074,0.1610286852440796,0.1416272286997013,0.3022855933933813,0.23742960597902255,0.14084101677758248,0.13187318980372092
