,TSS_1::NC_013691.1:27792-27992(-),TSS_2::NC_013691.1:29587-29787(-),TSS_3::NC_013691.1:36871-37071(-),TSS_4::NC_013691.1:41017-41217(-),TSS_5::NC_013691.1:53132-53332(-),TSS_6::NC_013691.1:53953-54153(-),TSS_7::NC_013691.1:55711-55911(-),TSS_8::NC_013691.1:57205-57405(-),TSS_9::NC_013691.1:62400-62600(-),TSS_10::NC_013691.1:62718-62918(-),TSS_11::NC_013691.1:64944-65144(-),TSS_12::NC_013691.1:65569-65769(-),TSS_13::NC_013691.1:68555-68755(-),mean
-100,,,,,,,,,,,,,,
-99,,,,,,,,,,,,,,
-98,,,,,,,,,,,,,,
-97,,,,,,,,,,,,,,
-96,,,,,,,,,,,,,,
-95,,,,,,,,,,,,,,
-94,,,,,,,,,,,,,,
-93,,,,,,,,,,,,,,
-92,,,,,,,,,,,,,,
-91,,,,,,,,,,,,,,
-90,,,,,,,,,,,,,,
-89,,,,,,,,,,,,,,
-88,,,,,,,,,,,,,,
-87,,,,,,,,,,,,,,
-86,,,,,,,,,,,,,,
-85,,,,,,,,,,,,,,
-84,,,,,,,,,,,,,,
-83,,,,,,,,,,,,,,
-82,,,,,,,,,,,,,,
-81,5.335,4.96,5.24,5.58,6.195,5.025,5.5600000000000005,5.0600000000000005,5.15,5.529999999999999,4.745,5.225,5.525,5.317692307692308
-80,5.465,4.95,5.4350000000000005,5.75,5.8549999999999995,4.895,5.65,5.005000000000001,5.380000000000001,5.529999999999999,5.055,5.195,5.26,5.340384615384616
-79,5.444999999999999,4.74,5.375,6.130000000000001,5.85,4.74,5.845,4.72,5.2,5.5,5.29,4.995,5.265000000000001,5.3149999999999995
-78,5.5,5.095000000000001,5.105,6.165,5.450000000000001,4.91,5.57,5.055,5.425,5.1850000000000005,5.494999999999999,5.325,5.335,5.3549999999999995
-77,5.5,5.15,5.034999999999999,6.1899999999999995,5.42,4.71,5.7,4.665,5.35,5.0649999999999995,5.4399999999999995,5.25,5.5600000000000005,5.310384615384615
