,TTS_1::NC_010326.1:1654-1754(+),TTS_2::NC_010326.1:1718-1818(+),TTS_3::NC_010326.1:2802-2902(+),TTS_4::NC_010326.1:4998-5098(+),TTS_5::NC_010326.1:21365-21465(+),TTS_6::NC_010326.1:22303-22403(+),TTS_7::NC_010326.1:22441-22541(+),TTS_8::NC_010326.1:22535-22635(+),TTS_9::NC_010326.1:25811-25911(+),TTS_10::NC_010326.1:36246-36346(+),TTS_1::NC_010326.1:91-191(-),TTS_2::NC_010326.1:407-507(-)
-50,,,,,,,,,,,,
-49,,,,,,,,,,,,
-48,,,,,,,,,,,,
-47,,,,,,,,,,,,
-46,,,,,,,,,,,,
-45,,,,,,,,,,,,
-44,,,,,,,,,,,,
-43,,,,,,,,,,,,
-42,,,,,,,,,,,,
-41,,,,,,,,,,,,
-40,,,,,,,,,,,,
-39,,,,,,,,,,,,
-38,,,,,,,,,,,,
-37,,,,,,,,,,,,
-36,,,,,,,,,,,,
-35,,,,,,,,,,,,
-34,,,,,,,,,,,,
-33,,,,,,,,,,,,
-32,,,,,,,,,,,,
-31,-1.384,-1.4300000000000002,-1.55,-1.577,-1.4325,-1.574,-1.542,-1.4665,-1.5915,-1.5605,-1.5150000000000001,-1.4495
-30,-1.384,-1.394,-1.543,-1.5545,-1.4255,-1.5630000000000002,-1.541,-1.4635,-1.5765,-1.5335,-1.4925000000000002,-1.4695
-29,-1.411,-1.411,-1.5030000000000001,-1.5545,-1.4285,-1.6065,-1.583,-1.5030000000000001,-1.5825,-1.5605,-1.4725,-1.4224999999999999
-28,-1.4209999999999998,-1.4100000000000001,-1.503,-1.574,-1.4085,-1.5695000000000001,-1.61,-1.53,-1.591,-1.6,-1.4805,-1.4015
-27,-1.4185,-1.347,-1.5395,-1.6219999999999999,-1.4075,-1.526,-1.59,-1.55,-1.6179999999999999,-1.5554999999999999,-1.4805,-1.358
-26,-1.4324999999999999,-1.32,-1.5025,-1.6664999999999999,-1.4435,-1.5260000000000002,-1.591,-1.55,-1.6375,-1.5554999999999999,-1.4805,-1.358
-25,-1.389,-1.3000000000000003,-1.4605000000000001,-1.6765,-1.4100000000000001,-1.504,-1.5915000000000001,-1.593,-1.6375,-1.5775000000000001,-1.484,-1.3830000000000002
-24,-1.341,-1.297,-1.4244999999999999,-1.654,-1.403,-1.476,-1.608,-1.6125,-1.6375,-1.5695000000000001,-1.5175,-1.383
-23,-1.3045,-1.3279999999999998,-1.421,-1.627,-1.425,-1.5095,-1.588,-1.6324999999999998,-1.6375,-1.5215,-1.5370000000000001,-1.4
-22,-1.3045,-1.343,-1.441,-1.6105,-1.433,-1.5565,-1.5715000000000001,-1.5879999999999999,-1.594,-1.5065,-1.584,-1.447
-21,-1.3325,-1.371,-1.441,-1.6105,-1.46,-1.5735,-1.5885,-1.577,-1.5945,-1.5055,-1.6275,-1.4200000000000002
-20,-1.3255000000000001,-1.381,-1.44,-1.5825,-1.4595,-1.5735,-1.5985,-1.6355,-1.5865000000000002,-1.4955,-1.6105,-1.3980000000000001
-19,-1.3005,-1.375,-1.468,-1.546,-1.4175,-1.5515,-1.5675000000000001,-1.6625,-1.5615,-1.5165000000000002,-1.608,-1.434
-18,-1.3005,-1.3599999999999999,-1.53,-1.5630000000000002,-1.3824999999999998,-1.5525,-1.5735,-1.6824999999999999,-1.5815,-1.5165,-1.629,-1.4760000000000002
-17,-1.3435000000000001,-1.357,-1.522,-1.57,-1.3835000000000002,-1.5190000000000001,-1.5735000000000001,-1.6825000000000003,-1.6179999999999999,-1.4885,-1.6219999999999999,-1.5230000000000001
-16,-1.383,-1.404,-1.476,-1.5699999999999998,-1.3945,-1.5165000000000002,-1.557,-1.6795000000000002,-1.598,-1.4605000000000001,-1.6019999999999999,-1.495
-15,-1.411,-1.421,-1.4535,-1.61,-1.3805,-1.5435,-1.5535,-1.6989999999999998,-1.5779999999999998,-1.4324999999999999,-1.5855000000000001,-1.4120000000000001
-14,-1.447,-1.457,-1.4545,-1.6435000000000002,-1.3880000000000001,-1.4965,-1.5615,-1.682,-1.585,-1.4689999999999999,-1.6255,-1.413
-13,-1.4244999999999999,-1.467,-1.5025,-1.6829999999999998,-1.3880000000000001,-1.4769999999999999,-1.5394999999999999,-1.6175000000000002,-1.5845,-1.48,-1.6615000000000002,-1.453
-12,-1.4245,-1.446,-1.546,-1.6829999999999998,-1.341,-1.5205,-1.5315,-1.5695000000000001,-1.548,-1.444,-1.6615000000000002,-1.4700000000000002
-11,-1.4515,-1.443,-1.588,-1.6830000000000003,-1.351,-1.5885,-1.5455,-1.614,-1.565,-1.433,-1.6785,-1.47
