,TTS_1::NC_022970.1:10161-10261(+),TTS_2::NC_022970.1:11219-11319(+),TTS_3::NC_022970.1:18324-18424(+),TTS_4::NC_022970.1:23698-23798(+),TTS_5::NC_022970.1:25974-26074(+),TTS_6::NC_022970.1:27886-27986(+),TTS_7::NC_022970.1:31260-31360(+),TTS_8::NC_022970.1:37460-37560(+),TTS_9::NC_022970.1:41370-41470(+),TTS_10::NC_022970.1:45561-45661(+),TTS_11::NC_022970.1:50229-50329(+),TTS_12::NC_022970.1:50575-50675(+),TTS_13::NC_022970.1:51997-52097(+),TTS_14::NC_022970.1:53096-53196(+),TTS_15::NC_022970.1:53699-53799(+),TTS_16::NC_022970.1:55154-55254(+),TTS_17::NC_022970.1:58558-58658(+),TTS_18::NC_022970.1:61922-62022(+),TTS_19::NC_022970.1:72339-72439(+),TTS_20::NC_022970.1:73190-73290(+),TTS_21::NC_022970.1:85408-85508(+),TTS_22::NC_022970.1:85967-86067(+),TTS_23::NC_022970.1:86376-86476(+),TTS_24::NC_022970.1:86448-86548(+),TTS_25::NC_022970.1:86619-86719(+),TTS_1::NC_022970.1:2577-2677(-),TTS_2::NC_022970.1:5623-5723(-),TTS_3::NC_022970.1:78278-78378(-),TTS_4::NC_022970.1:83180-83280(-),TTS_5::NC_022970.1:83641-83741(-)
-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-40,0.013193413581294968,0.005671350801163936,0.014540596425897678,0.018067340425518746,0.00832824603256176,0.016306507047153508,0.015209086837101145,0.013261409173492816,0.018746021382674862,0.00399598161143724,0.03467084935385804,0.010886264611513445,0.021717646937695213,0.008105240002880664,0.024081767627085963,0.011699629924180312,0.013885621195710096,0.008744689595425705,0.007353724253885867,0.011805546908542488,0.0016526944818854848,0.006742449256464974,0.006553913655432462,0.00988739109969924,0.013217338265825324,0.012689869132673472,0.025490762094889697,0.006017824628716971,0.02118092824255923,0.016394523173502748
-39,0.02922125771382845,0.011218677542780614,0.02825444067782982,0.03759273684157874,0.016387905876245286,0.03183152010612154,0.0327090201932413,0.026144277661227806,0.038484130434835076,0.013101833576009613,0.06842701566493861,0.024349412253210512,0.046646223354762095,0.015368232928327891,0.04772890216616128,0.02543492052791166,0.027497361098406947,0.01856204335965167,0.012425564932914407,0.021952280185590912,0.0045866782325568135,0.014215457974194667,0.012722872988289908,0.018640290976199632,0.025920403858222363,0.028179187963694306,0.04961802190370555,0.013138520112763974,0.04188726104648531,0.0314781474559078
-38,0.047012213279512306,0.01685100560962715,0.041317468774907454,0.058443098017633054,0.02361799412498347,0.04641243720369761,0.0519107831567814,0.03798372758399593,0.0571277269178882,0.02757563206185798,0.10110019398544937,0.038208695168674436,0.07385464612269914,0.0227798009555657,0.07045779705213565,0.04100013315642542,0.04103571165891666,0.028721650806205347,0.015818182641265534,0.030063548273103195,0.009753392707307058,0.021913832286267837,0.01760172934205552,0.026356993521922452,0.03828057609046057,0.04588290080966778,0.07275440413986149,0.022463037805566327,0.06182712304136099,0.04755733770654709
-37,0.0648888146139626,0.021673126451319042,0.053653579721323175,0.08010117010391424,0.031243314931986288,0.059989127282590295,0.07013201709735553,0.048879939051231856,0.07408646172960334,0.04663785343133518,0.13161698564345073,0.05192674137077209,0.10263221899727529,0.031783580291866106,0.09066351781233976,0.05847741712293553,0.05390463133769654,0.03970409453212485,0.019064547707143463,0.035632530654705764,0.017376109203042195,0.030222139526849035,0.021509688494021222,0.033477984982638945,0.05097435161772561,0.0635052859546872,0.09463545599925635,0.03404048469338573,0.07992966894672288,0.06450873510650565
