,TSS_5::NC_013691.1:26542-26742(),TSS_6::NC_013691.1:28760-28960(),TSS_8::NC_013691.1:59661-59861(),mean
-100,,,,
-99,,,,
-98,,,,
-97,,,,
-96,,,,
-95,,,,
-94,,,,
-93,,,,
-92,,,,
-91,,,,
-90,,,,
-89,,,,
-88,,,,
-87,,,,
-86,-1.3433333333333333,-1.6373333333333335,-1.7346666666666666,-1.571777777777778
-85,-1.3533333333333333,-1.6340000000000001,-1.7346666666666668,-1.574
-84,-1.3386666666666664,-1.6326666666666665,-1.6766666666666667,-1.5493333333333332
-83,-1.3186666666666667,-1.5686666666666667,-1.640666666666667,-1.5093333333333334
-82,-1.3199999999999998,-1.6046666666666667,-1.5873333333333335,-1.5040000000000002
-81,-1.3466666666666667,-1.6033333333333333,-1.596666666666667,-1.5155555555555555
-80,-1.3466666666666667,-1.55,-1.6326666666666667,-1.5097777777777779
-79,-1.346666666666667,-1.5546666666666666,-1.606,-1.5024444444444445
-78,-1.3506666666666665,-1.5773333333333333,-1.5573333333333335,-1.495111111111111
-77,-1.3426666666666667,-1.6333333333333333,-1.5013333333333336,-1.4924444444444447
-76,-1.370666666666667,-1.6320000000000001,-1.448,-1.4835555555555555
-75,-1.3226666666666667,-1.5680000000000003,-1.4746666666666668,-1.4551111111111112
-74,-1.3133333333333332,-1.546,-1.5326666666666666,-1.4639999999999997
-73,-1.324,-1.5906666666666667,-1.5886666666666664,-1.501111111111111
-72,-1.276,-1.6039999999999999,-1.6446666666666665,-1.5082222222222221
-71,-1.306,-1.5626666666666664,-1.6580000000000001,-1.5088888888888887
-70,-1.3319999999999999,-1.5046666666666666,-1.5673333333333335,-1.468
-69,-1.3693333333333333,-1.5060000000000002,-1.5766666666666667,-1.484
-68,-1.4753333333333332,-1.57,-1.6126666666666665,-1.5526666666666664
-67,-1.4846666666666666,-1.57,-1.6660000000000001,-1.5735555555555558
-66,-1.4313333333333333,-1.5713333333333332,-1.7146666666666666,-1.572444444444444
-65,-1.4046666666666667,-1.5620000000000003,-1.7146666666666666,-1.5604444444444443
