,TSS_POS_1::NC_011703.1:18629-18729(+),TSS_POS_2::NC_011703.1:23777-23877(+),TSS_POS_3::NC_011703.1:28248-28348(+),TSS_POS_4::NC_011703.1:53027-53127(+),TSS_POS_5::NC_011703.1:53093-53193(+),TSS_NEG_1::NC_011703.1:677-777(-),TSS_NEG_2::NC_011703.1:4449-4549(-),TSS_NEG_3::NC_011703.1:6607-6707(-),TSS_NEG_4::NC_011703.1:8654-8754(-),TSS_NEG_5::NC_011703.1:9086-9186(-),TSS_NEG_6::NC_011703.1:39451-39551(-),TSS_NEG_7::NC_011703.1:40165-40265(-),TSS_NEG_8::NC_011703.1:49204-49304(-),TSS_NEG_9::NC_011703.1:51287-51387(-),TSS_NEG_10::NC_011703.1:53043-53143(-),TSS_NEG_11::NC_011703.1:61270-61370(-),TSS_NEG_12::NC_011703.1:62387-62487(-),TSS_NEG_13::NC_011703.1:65210-65310(-)
-70,,,,,,,,,,,,,,,,,,
-69,,,,,,,,,,,,,,,,,,
-68,,,,,,,,,,,,,,,,,,
-67,,,,,,,,,,,,,,,,,,
-66,,,,,,,,,,,,,,,,,,
-65,,,,,,,,,,,,,,,,,,
-64,,,,,,,,,,,,,,,,,,
-63,,,,,,,,,,,,,,,,,,
-62,,,,,,,,,,,,,,,,,,
-61,,,,,,,,,,,,,,,,,,
-60,,,,,,,,,,,,,,,,,,
-59,,,,,,,,,,,,,,,,,,
-58,,,,,,,,,,,,,,,,,,
-57,,,,,,,,,,,,,,,,,,
-56,,,,,,,,,,,,,,,,,,
-55,,,,,,,,,,,,,,,,,,
-54,,,,,,,,,,,,,,,,,,
-53,,,,,,,,,,,,,,,,,,
-52,,,,,,,,,,,,,,,,,,
-51,-1.4064999999999999,-1.3975,-1.3835000000000002,-1.2085000000000001,-1.61,-1.3255000000000001,-1.3275000000000001,-1.5779999999999998,-1.309,-1.1664999999999999,-1.28,-1.4255,-1.3425,-1.103,-1.3545,-1.407,-1.483,-1.238
-50,-1.3605,-1.4125,-1.3735,-1.189,-1.5959999999999999,-1.3395,-1.3285,-1.614,-1.3359999999999999,-1.1804999999999999,-1.28,-1.4045,-1.3275000000000001,-1.103,-1.3965,-1.3704999999999998,-1.452,-1.198
-49,-1.383,-1.441,-1.3735,-1.2325,-1.568,-1.3395,-1.3504999999999998,-1.614,-1.3695,-1.1720000000000002,-1.244,-1.4255,-1.3215,-1.1019999999999999,-1.4215,-1.3735,-1.4295,-1.184
-48,-1.4475000000000002,-1.483,-1.3584999999999998,-1.2605,-1.5430000000000001,-1.2810000000000001,-1.3585,-1.594,-1.372,-1.1789999999999998,-1.202,-1.4045,-1.3065,-1.092,-1.4015,-1.3535,-1.4375,-1.198
-47,-1.4755,-1.5415,-1.2965,-1.2254999999999998,-1.5205000000000002,-1.2730000000000001,-1.3585,-1.559,-1.3795,-1.189,-1.174,-1.3215,-1.2445,-1.107,-1.3595,-1.317,-1.4655,-1.226
-46,-1.479,-1.5615,-1.2814999999999999,-1.1895,-1.4855,-1.3175,-1.3685,-1.56,-1.444,-1.182,-1.131,-1.3005,-1.2085,-1.149,-1.3245,-1.3,-1.432,-1.198
-45,-1.4754999999999998,-1.5615,-1.3025,-1.1795,-1.4715,-1.284,-1.3535,-1.568,-1.4549999999999998,-1.207,-1.1,-1.3,-1.216,-1.2109999999999999,-1.3025,-1.238,-1.405,-1.1969999999999998
-44,-1.5025,-1.6060000000000003,-1.3305,-1.1945000000000001,-1.407,-1.236,-1.3465,-1.568,-1.44,-1.228,-1.122,-1.308,-1.206,-1.2695,-1.2405000000000002,-1.224,-1.385,-1.1969999999999998
-43,-1.5050000000000001,-1.652,-1.3139999999999998,-1.2225,-1.359,-1.228,-1.3575000000000002,-1.568,-1.446,-1.2055,-1.144,-1.2730000000000001,-1.212,-1.3005,-1.1925,-1.2180000000000002,-1.4120000000000001,-1.1869999999999998
-42,-1.4465,-1.6310000000000002,-1.277,-1.2005000000000001,-1.359,-1.221,-1.3425,-1.568,-1.432,-1.1845,-1.123,-1.2145,-1.19,-1.3215,-1.134,-1.197,-1.459,-1.212
-41,-1.447,-1.6060000000000003,-1.256,-1.1575,-1.359,-1.214,-1.3425,-1.568,-1.3885,-1.1635,-1.123,-1.1525,-1.168,-1.3275000000000001,-1.123,-1.19,-1.449,-1.212
-40,-1.4469999999999998,-1.5975,-1.2125,-1.1515,-1.359,-1.2600000000000002,-1.3485,-1.574,-1.4085,-1.141,-1.1019999999999999,-1.0879999999999999,-1.183,-1.3425,-1.1815,-1.193,-1.449,-1.233
-39,-1.412,-1.6420000000000001,-1.1975,-1.1595,-1.3815,-1.26,-1.3205,-1.56,-1.4049999999999998,-1.121,-1.077,-1.077,-1.191,-1.3845,-1.2285,-1.165,-1.469,-1.2550000000000001
-38,-1.392,-1.6670000000000003,-1.1915,-1.1795,-1.3805,-1.2600000000000002,-1.2805,-1.533,-1.452,-1.142,-1.0619999999999998,-1.0695000000000001,-1.1544999999999999,-1.4275,-1.2205,-1.1620000000000001,-1.4209999999999998,-1.277
-37,-1.391,-1.639,-1.169,-1.1795,-1.3185,-1.2675,-1.3005,-1.4965000000000002,-1.472,-1.1560000000000001,-1.022,-1.026,-1.1945000000000001,-1.3915000000000002,-1.2555,-1.19,-1.407,-1.325
-36,-1.4495,-1.576,-1.168,-1.1795,-1.2600000000000002,-1.2565000000000002,-1.256,-1.4934999999999998,-1.472,-1.176,-1.069,-1.0230000000000001,-1.1865,-1.3605,-1.314,-1.155,-1.3860000000000001,-1.324
-35,-1.4805,-1.528,-1.1949999999999998,-1.1795,-1.214,-1.2565000000000002,-1.231,-1.533,-1.472,-1.1620000000000001,-1.083,-1.002,-1.1615,-1.3455,-1.376,-1.155,-1.3800000000000001,-1.309
-34,-1.481,-1.517,-1.184,-1.1795,-1.2215,-1.2565000000000002,-1.231,-1.4885,-1.472,-1.147,-1.083,-1.017,-1.1615,-1.3345,-1.375,-1.1800000000000002,-1.3880000000000001,-1.284
-33,-1.498,-1.516,-1.1629999999999998,-1.208,-1.1735,-1.2414999999999998,-1.2100000000000002,-1.4425000000000001,-1.5005000000000002,-1.111,-1.089,-1.085,-1.1255,-1.3765,-1.3530000000000002,-1.2085000000000001,-1.396,-1.2690000000000001
-32,-1.4979999999999998,-1.4540000000000002,-1.169,-1.271,-1.115,-1.2639999999999998,-1.2385,-1.465,-1.5005000000000002,-1.1115,-1.0539999999999998,-1.127,-1.126,-1.4035,-1.3530000000000002,-1.2095,-1.3960000000000001,-1.3125
-31,-1.4700000000000002,-1.4260000000000002,-1.1774999999999998,-1.285,-1.104,-1.278,-1.2734999999999999,-1.4845000000000002,-1.4725,-1.17,-1.0625,-1.1854999999999998,-1.161,-1.3955000000000002,-1.353,-1.218,-1.423,-1.3115
-30,-1.505,-1.4695,-1.2045000000000001,-1.2765,-1.1625,-1.264,-1.2585,-1.4845000000000002,-1.4725,-1.198,-1.0764999999999998,-1.2285,-1.161,-1.3955000000000002,-1.3530000000000002,-1.2545,-1.4875,-1.3035
-29,-1.5245,-1.489,-1.2630000000000001,-1.232,-1.2105,-1.264,-1.2505000000000002,-1.4645,-1.428,-1.226,-1.0975,-1.2075,-1.181,-1.3955,-1.3900000000000001,-1.2915,-1.5125,-1.3175000000000001
-28,-1.5245000000000002,-1.5090000000000001,-1.3050000000000002,-1.232,-1.2725,-1.306,-1.2705,-1.4425,-1.425,-1.2289999999999999,-1.0765,-1.2075,-1.1949999999999998,-1.3945,-1.4545000000000001,-1.3125,-1.4845000000000002,-1.2825000000000002
-27,-1.5245,-1.4925000000000002,-1.347,-1.315,-1.2875,-1.307,-1.2435,-1.4635,-1.4445000000000001,-1.204,-1.0975000000000001,-1.2425,-1.217,-1.3795,-1.4795000000000003,-1.3054999999999999,-1.4215,-1.2345000000000002
-26,-1.5045,-1.509,-1.4090000000000003,-1.3510000000000002,-1.3235,-1.2635,-1.2125,-1.4485,-1.448,-1.2115,-1.1404999999999998,-1.2635,-1.28,-1.3515000000000001,-1.5154999999999998,-1.3425,-1.3965,-1.2425
-25,-1.5080000000000002,-1.509,-1.4360000000000002,-1.3980000000000001,-1.3655,-1.2605,-1.2125,-1.4405,-1.4815,-1.2005000000000001,-1.1465,-1.2414999999999998,-1.2825,-1.3045,-1.5375,-1.3575000000000002,-1.3815,-1.2535
-24,-1.5245,-1.4655,-1.408,-1.3980000000000001,-1.3965,-1.2805000000000002,-1.2115,-1.4605000000000001,-1.5065000000000002,-1.2005000000000001,-1.1465,-1.2345000000000002,-1.2615,-1.246,-1.5515,-1.3515000000000001,-1.3545,-1.2535
-23,-1.5414999999999999,-1.4405000000000001,-1.3880000000000001,-1.391,-1.3824999999999998,-1.2805,-1.2005000000000001,-1.4135,-1.5215,-1.2005000000000001,-1.1865,-1.2974999999999999,-1.2755,-1.215,-1.5725,-1.3715,-1.3375,-1.2635
