,TTS_1::Phage_LUZ100_full_genome:682-782(+),TTS_2::Phage_LUZ100_full_genome:2513-2613(+),TTS_3::Phage_LUZ100_full_genome:3935-4035(+),TTS_4::Phage_LUZ100_full_genome:7661-7761(+),TTS_5::Phage_LUZ100_full_genome:8633-8733(+),TTS_6::Phage_LUZ100_full_genome:9191-9291(+),TTS_7::Phage_LUZ100_full_genome:9993-10093(+),TTS_8::Phage_LUZ100_full_genome:10628-10728(+),TTS_9::Phage_LUZ100_full_genome:17146-17246(+),TTS_10::Phage_LUZ100_full_genome:19149-19249(+),TTS_11::Phage_LUZ100_full_genome:20332-20432(+),TTS_12::Phage_LUZ100_full_genome:20778-20878(+),TTS_13::Phage_LUZ100_full_genome:22144-22244(+),TTS_14::Phage_LUZ100_full_genome:37066-37166(+)
-50,,,,,,,,,,,,,,
-49,,,,,,,,,,,,,,
-48,,,,,,,,,,,,,,
-47,,,,,,,,,,,,,,
-46,,,,,,,,,,,,,,
-45,,,,,,,,,,,,,,
-44,,,,,,,,,,,,,,
-43,,,,,,,,,,,,,,
-42,,,,,,,,,,,,,,
-41,,,,,,,,,,,,,,
-40,,,,,,,,,,,,,,
-39,,,,,,,,,,,,,,
-38,,,,,,,,,,,,,,
-37,,,,,,,,,,,,,,
-36,,,,,,,,,,,,,,
-35,,,,,,,,,,,,,,
-34,,,,,,,,,,,,,,
-33,,,,,,,,,,,,,,
-32,,,,,,,,,,,,,,
-31,-1.435,-1.5835000000000001,-1.395,-1.5455,-1.5295,-1.4505000000000001,-1.593,-1.443,-1.397,-1.419,-1.56,-1.685,-1.3895,-1.4665000000000001
-30,-1.4769999999999999,-1.5550000000000002,-1.3615,-1.5705,-1.549,-1.4505000000000001,-1.576,-1.443,-1.4555,-1.447,-1.518,-1.671,-1.3535,-1.4385
-29,-1.5130000000000001,-1.5350000000000001,-1.3364999999999998,-1.5715,-1.5925,-1.4505000000000001,-1.534,-1.403,-1.5035,-1.474,-1.498,-1.6345000000000003,-1.3065000000000002,-1.3555
-28,-1.54,-1.5185,-1.308,-1.5995000000000001,-1.6195,-1.4435,-1.524,-1.367,-1.5035,-1.4935,-1.5459999999999998,-1.6745,-1.3335000000000001,-1.3285
-27,-1.5395,-1.5015,-1.2730000000000001,-1.6395,-1.5995,-1.4235000000000002,-1.549,-1.3895,-1.5405000000000002,-1.4935,-1.5905,-1.6665000000000003,-1.3585,-1.3755000000000002
-26,-1.5035,-1.4335,-1.294,-1.6565,-1.5565,-1.3875,-1.534,-1.4375,-1.5394999999999999,-1.5005,-1.6105,-1.6385,-1.3510000000000002,-1.434
-25,-1.5035,-1.4335,-1.3225,-1.721,-1.5715,-1.3875,-1.5345,-1.482,-1.5195,-1.4995,-1.6385,-1.6385,-1.379,-1.496
-24,-1.4975,-1.4255,-1.3504999999999998,-1.741,-1.5995000000000001,-1.3875,-1.5265,-1.51,-1.5594999999999999,-1.496,-1.6315000000000002,-1.655,-1.4420000000000002,-1.538
-23,-1.489,-1.4224999999999999,-1.3505,-1.7410000000000003,-1.6395,-1.4155000000000002,-1.4645,-1.55,-1.5515,-1.516,-1.5845,-1.6150000000000002,-1.51,-1.5530000000000002
-22,-1.4725,-1.4645,-1.394,-1.741,-1.6395,-1.4785,-1.4645000000000001,-1.55,-1.5405000000000002,-1.543,-1.568,-1.5870000000000002,-1.538,-1.559
-21,-1.4725,-1.464,-1.4135,-1.741,-1.6565,-1.5145,-1.4795000000000003,-1.567,-1.5885,-1.5864999999999998,-1.5710000000000002,-1.5425,-1.5110000000000001,-1.5595
-20,-1.4525000000000001,-1.449,-1.4614999999999998,-1.719,-1.6715,-1.5345,-1.4655,-1.6255,-1.5815000000000001,-1.6064999999999998,-1.549,-1.5025,-1.5110000000000001,-1.5395
-19,-1.4525000000000001,-1.4709999999999999,-1.4545,-1.671,-1.6715000000000004,-1.5615,-1.474,-1.6279999999999997,-1.5790000000000002,-1.5965,-1.5390000000000001,-1.5505,-1.5135,-1.5230000000000001
-18,-1.4525000000000001,-1.4780000000000002,-1.4065,-1.7155,-1.7085000000000001,-1.5755000000000001,-1.5185,-1.5635,-1.6375,-1.5965,-1.5585,-1.6135000000000002,-1.4715,-1.512
-17,-1.4525000000000001,-1.438,-1.3584999999999998,-1.7434999999999998,-1.7445,-1.567,-1.4849999999999999,-1.5235,-1.6644999999999999,-1.6115,-1.5219999999999998,-1.657,-1.4565000000000001,-1.519
-16,-1.4525000000000001,-1.4380000000000002,-1.402,-1.7635,-1.7645,-1.5225000000000002,-1.478,-1.5505,-1.6815000000000002,-1.614,-1.519,-1.6400000000000001,-1.4565,-1.536
