,TSS_5::NC_013691.1:26542-26742(),TSS_6::NC_013691.1:28760-28960(),TSS_8::NC_013691.1:59661-59861(),mean
-100,,,,
-99,,,,
-98,,,,
-97,,,,
-96,,,,
-95,,,,
-94,,,,
-93,,,,
-92,,,,
-91,,,,
-90,,,,
-89,,,,
-88,,,,
-87,,,,
-86,,,,
-85,,,,
-84,,,,
-83,,,,
-82,,,,
-81,5.4,5.995,5.335,5.576666666666667
-80,5.225,6.040000000000001,5.404999999999999,5.5566666666666675
-79,5.335,6.135,5.515,5.661666666666666
-78,5.335,6.045,5.1850000000000005,5.521666666666666
-77,5.025,5.8,5.12,5.315
-76,5.105,5.8149999999999995,5.015000000000001,5.3116666666666665
-75,5.345000000000001,5.91,4.915,5.390000000000001
-74,5.1850000000000005,5.77,4.85,5.2683333333333335
-73,5.425,5.805,4.984999999999999,5.405
-72,5.38,5.775,4.885,5.346666666666667
-71,5.25,5.944999999999999,4.655,5.283333333333334
-70,5.4350000000000005,6.12,5.055,5.536666666666666
-69,5.305000000000001,6.1450000000000005,4.779999999999999,5.41
-68,5.0649999999999995,6.225,5.1850000000000005,5.491666666666667
-67,5.095000000000001,5.935,5.1899999999999995,5.406666666666666
-66,5.305,6.135,5.025,5.488333333333333
-65,5.525,6.35,4.96,5.611666666666667
-64,5.5,6.3950000000000005,4.659999999999999,5.5183333333333335
-63,5.11,6.565,4.56,5.411666666666666
-62,4.975,6.654999999999999,4.475,5.368333333333332
-61,5.0649999999999995,6.505,4.7299999999999995,5.433333333333334
-60,5.225,6.445,4.595000000000001,5.421666666666667
-59,5.015,6.409999999999999,4.6450000000000005,5.3566666666666665
-58,4.935,6.435,4.845,5.405
-57,5.265,6.279999999999999,4.824999999999999,5.456666666666666
-56,5.4,6.24,4.790000000000001,5.476666666666667
-55,5.49,6.27,4.675,5.478333333333333
-54,5.625,6.38,4.734999999999999,5.579999999999999
-53,5.615,6.24,4.705,5.5200000000000005
-52,5.475,6.345,4.720000000000001,5.513333333333333
-51,5.215,6.2700000000000005,4.75,5.411666666666666
