,TSS_1::NC_013691.1:0-200(),TSS_2::NC_013691.1:711-911(),TSS_3::NC_013691.1:3582-3782(),TSS_4::NC_013691.1:3615-3815(),TSS_5::NC_013691.1:8160-8360(),TSS_6::NC_013691.1:9444-9644(),mean
-100,,,,,,,
-99,,,,,,,
-98,,,,,,,
-97,,,,,,,
-96,,,,,,,
-95,,,,,,,
-94,,,,,,,
-93,,,,,,,
-92,,,,,,,
-91,,,,,,,
-90,,,,,,,
-89,,,,,,,
-88,,,,,,,
-87,,,,,,,
-86,,,,,,,
-85,,,,,,,
-84,,,,,,,
-83,,,,,,,
-82,,,,,,,
-81,0.026144780888914726,0.03091213790177332,0.03606044189292454,0.05562990086203847,0.01325725872076292,0.08986635562320174,0.04197847931493595
-80,0.05334633408796374,0.058053671224860624,0.07306336662764762,0.11330224641624867,0.02892397175747842,0.16349807704885624,0.08169794452717588
-79,0.059795630140566935,0.06444620219353395,0.07306336662764762,0.1173691260154534,0.04277855132918703,0.16349807704885624,0.08682515889254087
-78,0.07034705630992594,0.06977684438874326,0.07306336662764762,0.12642786726253757,0.06168483391325877,0.16349807704885624,0.09413300759182823
-77,0.08291211543763646,0.0736395591916666,0.07306336662764762,0.13474221991715632,0.07630220466930729,0.16349807704885624,0.10069292381537842
-76,0.09281970540612228,0.07640468369997515,0.07306336662764762,0.1361818853514781,0.08941413594645872,0.16349807704885624,0.10523030901342302
-75,0.09733305084412516,0.07640468369997515,0.07306336662764762,0.14384757243786958,0.09862217259147094,0.16349807704885624,0.10879482054165746
-74,0.10059684477530811,0.07640468369997515,0.07306336662764762,0.15625118726809623,0.10816334107289119,0.16349807704885624,0.11299625008212909
-73,0.10276873046585652,0.07872404605730117,0.07306336662764762,0.16661159082790955,0.12683432251714294,0.16349807704885624,0.11858335559078569
-72,0.10432399032572252,0.07878073852143078,0.07306336662764762,0.1790337778372113,0.1612649844188972,0.16349807704885624,0.12666082246329427
-71,0.10714621932922616,0.07967452673442904,0.07628894224846189,0.18599377429919764,0.19572645211703646,0.16349807704885624,0.1347213319628679
