,TSS_POS_1::NC_010326.1:880-980(+),TSS_POS_2::NC_010326.1:959-1059(+),TSS_POS_3::NC_010326.1:1074-1174(+),TSS_POS_4::NC_010326.1:1112-1212(+),TSS_POS_5::NC_010326.1:1214-1314(+),TSS_POS_6::NC_010326.1:1347-1447(+),TSS_POS_7::NC_010326.1:1373-1473(+),TSS_POS_8::NC_010326.1:1491-1591(+),TSS_POS_9::NC_010326.1:1537-1637(+),TSS_POS_10::NC_010326.1:21064-21164(+),TSS_POS_11::NC_010326.1:35539-35639(+),TSS_NEG_1::NC_010326.1:702-802(-)
-70,,,,,,,,,,,,
-69,,,,,,,,,,,,
-68,,,,,,,,,,,,
-67,,,,,,,,,,,,
-66,,,,,,,,,,,,
-65,,,,,,,,,,,,
-64,,,,,,,,,,,,
-63,,,,,,,,,,,,
-62,,,,,,,,,,,,
-61,,,,,,,,,,,,
-60,,,,,,,,,,,,
-59,,,,,,,,,,,,
-58,,,,,,,,,,,,
-57,,,,,,,,,,,,
-56,,,,,,,,,,,,
-55,,,,,,,,,,,,
-54,,,,,,,,,,,,
-53,,,,,,,,,,,,
-52,,,,,,,,,,,,
-51,-1.7185000000000001,-1.534,-1.5955,-1.5765,-1.403,-1.5595,-1.4695,-1.4365,-1.511,-1.417,-1.5470000000000002,-1.4425000000000001
-50,-1.6904999999999997,-1.5255,-1.5475,-1.5554999999999999,-1.43,-1.5455,-1.4695,-1.4615,-1.539,-1.4369999999999998,-1.557,-1.435
-49,-1.6705,-1.5325000000000002,-1.5030000000000001,-1.5475,-1.4469999999999998,-1.5385000000000002,-1.4845000000000002,-1.433,-1.5025,-1.4789999999999999,-1.5175,-1.4155000000000002
-48,-1.6875,-1.5745,-1.441,-1.584,-1.474,-1.5585,-1.504,-1.3885,-1.4195,-1.482,-1.5165,-1.4155000000000002
-47,-1.7345000000000002,-1.5770000000000002,-1.405,-1.6239999999999999,-1.5074999999999998,-1.5505,-1.532,-1.422,-1.376,-1.4795,-1.5234999999999999,-1.4425000000000001
-46,-1.7510000000000001,-1.5335,-1.4200000000000002,-1.616,-1.5325,-1.5505,-1.5350000000000001,-1.4469999999999998,-1.373,-1.4935,-1.5435,-1.4565000000000001
-45,-1.751,-1.4965000000000002,-1.447,-1.616,-1.5325,-1.5505,-1.493,-1.4395,-1.3295,-1.5135,-1.5895,-1.456
-44,-1.7954999999999999,-1.477,-1.447,-1.6620000000000001,-1.5334999999999999,-1.5070000000000001,-1.465,-1.4495,-1.3095,-1.5415,-1.5895,-1.484
-43,-1.8235000000000003,-1.4780000000000002,-1.467,-1.677,-1.5265,-1.465,-1.444,-1.4344999999999999,-1.3014999999999999,-1.5415,-1.5895,-1.53
-42,-1.8235,-1.4789999999999999,-1.457,-1.704,-1.5095,-1.4655,-1.4875000000000003,-1.432,-1.335,-1.5414999999999999,-1.6095,-1.5150000000000001
-41,-1.8305000000000002,-1.5070000000000001,-1.4495,-1.704,-1.4995,-1.5005,-1.5145000000000002,-1.431,-1.3545,-1.5414999999999999,-1.6095,-1.4754999999999998
-40,-1.7945,-1.57,-1.4765000000000001,-1.684,-1.5190000000000001,-1.5074999999999998,-1.4865,-1.3880000000000001,-1.4015,-1.5585,-1.5995,-1.4754999999999998
-39,-1.7465000000000004,-1.5695000000000001,-1.479,-1.6670000000000003,-1.4855,-1.5074999999999998,-1.4465,-1.3809999999999998,-1.4449999999999998,-1.6055,-1.6145,-1.4755
-38,-1.7045000000000001,-1.5545,-1.4205,-1.6025000000000003,-1.4545,-1.5075,-1.4535,-1.384,-1.465,-1.6219999999999999,-1.6215,-1.519
-37,-1.7015,-1.5615,-1.401,-1.5605,-1.4545,-1.5075,-1.4525000000000001,-1.3699999999999999,-1.528,-1.582,-1.5935,-1.581
-36,-1.7115000000000002,-1.5445,-1.381,-1.5205,-1.4540000000000002,-1.4645,-1.469,-1.355,-1.596,-1.568,-1.6105,-1.6170000000000002
-35,-1.672,-1.5050000000000001,-1.4245,-1.5305,-1.465,-1.4545,-1.4689999999999999,-1.3625,-1.616,-1.56,-1.6019999999999999,-1.597
-34,-1.6285,-1.5050000000000001,-1.4865000000000002,-1.538,-1.4655,-1.474,-1.489,-1.3825,-1.6125,-1.552,-1.5655000000000001,-1.577
-33,-1.589,-1.5125,-1.5015,-1.5110000000000001,-1.4555000000000002,-1.4940000000000002,-1.4969999999999999,-1.3744999999999998,-1.6235,-1.573,-1.5855000000000001,-1.6039999999999999
-32,-1.6055,-1.4655,-1.494,-1.4715,-1.4615,-1.4505,-1.4769999999999999,-1.3465,-1.5955000000000001,-1.5645,-1.6255000000000002,-1.672
-31,-1.5855000000000001,-1.4460000000000002,-1.5020000000000002,-1.5150000000000001,-1.4625,-1.4405,-1.497,-1.363,-1.5535,-1.52,-1.642,-1.673
-30,-1.5935,-1.4460000000000002,-1.51,-1.5630000000000002,-1.4455,-1.4825,-1.496,-1.3800000000000001,-1.5335,-1.5,-1.6789999999999998,-1.6804999999999999
-29,-1.6135000000000002,-1.446,-1.518,-1.571,-1.4260000000000002,-1.5094999999999998,-1.503,-1.408,-1.5365,-1.52,-1.7150000000000003,-1.672
-28,-1.6134999999999997,-1.466,-1.54,-1.5345,-1.3989999999999998,-1.4695,-1.486,-1.394,-1.5574999999999999,-1.509,-1.7429999999999999,-1.609
-27,-1.5735,-1.483,-1.583,-1.5345,-1.3405,-1.4695,-1.444,-1.3145000000000002,-1.565,-1.5085000000000002,-1.763,-1.567
-26,-1.494,-1.483,-1.5470000000000002,-1.5355,-1.3305,-1.4895,-1.434,-1.2895,-1.558,-1.5195,-1.7429999999999999,-1.568
-25,-1.4469999999999998,-1.4729999999999999,-1.5050000000000001,-1.5285,-1.37,-1.4695,-1.459,-1.2685,-1.5790000000000002,-1.5205,-1.718,-1.588
-24,-1.4104999999999999,-1.4925000000000002,-1.4780000000000002,-1.5455,-1.4135,-1.4695,-1.4875,-1.2575,-1.6,-1.5205,-1.7094999999999998,-1.608
-23,-1.3475,-1.5195,-1.458,-1.5554999999999999,-1.4605000000000001,-1.4845,-1.5225000000000002,-1.316,-1.6280000000000001,-1.5684999999999998,-1.7095000000000002,-1.597
-22,-1.3204999999999998,-1.5665,-1.5050000000000001,-1.536,-1.4505000000000001,-1.504,-1.5139999999999998,-1.3555000000000001,-1.6315000000000002,-1.605,-1.7095000000000002,-1.6190000000000002
-21,-1.3405,-1.5395,-1.532,-1.509,-1.4355,-1.532,-1.4869999999999999,-1.4,-1.6315000000000002,-1.605,-1.7259999999999998,-1.6585
-20,-1.3835,-1.4914999999999998,-1.5485,-1.4895,-1.4084999999999999,-1.535,-1.4955,-1.446,-1.5844999999999998,-1.588,-1.7530000000000001,-1.675
-19,-1.4035,-1.4835,-1.5655000000000001,-1.5230000000000001,-1.4055,-1.4929999999999999,-1.5154999999999998,-1.4535,-1.541,-1.52,-1.7600000000000002,-1.675
-18,-1.4175,-1.542,-1.6275,-1.591,-1.4255,-1.465,-1.5354999999999999,-1.4425000000000001,-1.541,-1.4615,-1.738,-1.6415
-17,-1.4175,-1.5619999999999998,-1.6199999999999999,-1.6495000000000002,-1.4395,-1.444,-1.5365,-1.4645000000000001,-1.5610000000000002,-1.4185,-1.7029999999999998,-1.5735
-16,-1.4144999999999999,-1.559,-1.5930000000000002,-1.6695,-1.4315,-1.4875,-1.478,-1.4895,-1.514,-1.4125,-1.655,-1.494
-15,-1.371,-1.5154999999999998,-1.5765,-1.6664999999999999,-1.4205,-1.5145,-1.436,-1.4895,-1.4869999999999999,-1.4205,-1.6629999999999998,-1.466
-14,-1.371,-1.5154999999999998,-1.5764999999999998,-1.623,-1.377,-1.4865,-1.394,-1.4625,-1.4535,-1.4285,-1.6629999999999998,-1.466
-13,-1.3735,-1.518,-1.5765,-1.6305,-1.3619999999999999,-1.4465000000000001,-1.387,-1.4635,-1.4225,-1.4425000000000001,-1.6350000000000002,-1.4460000000000002
-12,-1.33,-1.518,-1.5554999999999999,-1.623,-1.3844999999999998,-1.4535,-1.3900000000000001,-1.4715,-1.4075,-1.4435,-1.588,-1.3980000000000001
-11,-1.3299999999999998,-1.5175,-1.5474999999999999,-1.5795,-1.3845,-1.4525000000000001,-1.343,-1.392,-1.4224999999999999,-1.452,-1.552,-1.398
-10,-1.3079999999999998,-1.4825,-1.584,-1.5594999999999999,-1.3535000000000001,-1.469,-1.3510000000000002,-1.3439999999999999,-1.4625,-1.472,-1.5050000000000001,-1.3980000000000001
-9,-1.2799999999999998,-1.483,-1.624,-1.5375,-1.353,-1.469,-1.343,-1.3439999999999999,-1.496,-1.452,-1.4405,-1.399
-8,-1.2965,-1.4795,-1.616,-1.5295,-1.4000000000000001,-1.489,-1.332,-1.4060000000000001,-1.5580000000000003,-1.453,-1.3775,-1.4425000000000001
-7,-1.3365,-1.4994999999999998,-1.616,-1.5260000000000002,-1.4585000000000001,-1.4969999999999999,-1.3539999999999999,-1.441,-1.5505,-1.4535,-1.358,-1.4575
