,TTS_1::NC_022970.1:10161-10261(+),TTS_2::NC_022970.1:11219-11319(+),TTS_3::NC_022970.1:18324-18424(+),TTS_4::NC_022970.1:23698-23798(+),TTS_5::NC_022970.1:25974-26074(+),TTS_6::NC_022970.1:27886-27986(+),TTS_7::NC_022970.1:31260-31360(+),TTS_8::NC_022970.1:37460-37560(+),TTS_9::NC_022970.1:41370-41470(+),TTS_10::NC_022970.1:45561-45661(+),TTS_11::NC_022970.1:50229-50329(+),TTS_12::NC_022970.1:50575-50675(+),TTS_13::NC_022970.1:51997-52097(+),TTS_14::NC_022970.1:53096-53196(+),TTS_15::NC_022970.1:53699-53799(+),TTS_16::NC_022970.1:55154-55254(+),TTS_17::NC_022970.1:58558-58658(+),TTS_18::NC_022970.1:61922-62022(+),TTS_19::NC_022970.1:72339-72439(+),TTS_20::NC_022970.1:73190-73290(+),TTS_21::NC_022970.1:85408-85508(+),TTS_22::NC_022970.1:85967-86067(+),TTS_23::NC_022970.1:86376-86476(+),TTS_24::NC_022970.1:86448-86548(+),TTS_25::NC_022970.1:86619-86719(+),TTS_1::NC_022970.1:2577-2677(-),TTS_2::NC_022970.1:5623-5723(-),TTS_3::NC_022970.1:78278-78378(-),TTS_4::NC_022970.1:83180-83280(-),TTS_5::NC_022970.1:83641-83741(-)
-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-31,4.82,4.995,4.9350000000000005,5.279999999999999,6.04,5.13,5.904999999999999,5.2299999999999995,6.015,5.319999999999999,5.8549999999999995,5.775,5.665,5.615,5.385,5.64,5.970000000000001,5.74,5.295,6.029999999999999,5.784999999999999,6.01,5.875,6.69,5.875,4.995,4.66,5.375,5.285,4.865
-30,4.775,4.9399999999999995,4.9350000000000005,5.575,6.005,5.130000000000001,5.88,5.005,6.095,4.825,5.93,6.090000000000001,5.5600000000000005,5.7,5.74,5.72,5.98,5.7299999999999995,5.325,6.08,5.81,5.995,5.93,6.4,5.95,5.205,4.735,5.215,5.31,4.694999999999999
-29,4.85,4.965,4.76,5.64,5.755,5.16,6.034999999999999,4.805000000000001,6.1499999999999995,4.575,5.645,5.935,5.56,5.48,5.694999999999999,5.5649999999999995,5.995,5.74,5.6049999999999995,6.035,5.5649999999999995,5.95,6.125,6.33,6.05,5.244999999999999,4.35,5.3149999999999995,5.385,4.619999999999999
-28,4.845000000000001,5.095000000000001,4.630000000000001,5.65,5.7299999999999995,5.49,6.07,5.04,5.9799999999999995,4.65,5.365,5.765,5.58,5.96,5.484999999999999,5.345000000000001,5.805,5.92,5.635,5.78,5.74,5.865,5.95,6.484999999999999,6.17,5.045,4.034999999999999,5.14,5.535,4.87
-27,4.565,5.02,4.630000000000001,5.57,5.545,5.51,5.955,5.115,5.95,4.9399999999999995,5.39,5.715,5.475,5.71,5.35,5.595,6.08,5.694999999999999,6.115,5.799999999999999,5.435,5.705,5.944999999999999,6.39,6.175,5.125,3.94,5.385,5.595000000000001,4.869999999999999
-26,4.42,5.02,4.9399999999999995,5.705,5.575,5.58,5.86,5.305,5.8999999999999995,5.24,5.654999999999999,5.715,5.57,5.655,5.2,5.319999999999999,6.03,6.14,6.17,5.625,5.415,5.6850000000000005,5.945,6.484999999999999,6.36,5.095,3.6149999999999998,5.2,5.65,4.944999999999999
