,TSS_7::NC_013691.1:18031-18231(),TSS_8::NC_013691.1:35174-35374(),TSS_9::NC_013691.1:39276-39476(),TSS_10::NC_013691.1:66501-66701(),mean
-100,,,,,
-99,,,,,
-98,,,,,
-97,,,,,
-96,,,,,
-95,,,,,
-94,,,,,
-93,,,,,
-92,,,,,
-91,,,,,
-90,,,,,
-89,,,,,
-88,,,,,
-87,,,,,
-86,,,,,
-85,,,,,
-84,,,,,
-83,,,,,
-82,,,,,
-81,5.654999999999999,6.154999999999999,5.279999999999999,6.42,5.8774999999999995
-80,5.49,5.975,5.035,6.305,5.70125
-79,5.6450000000000005,6.085,4.855,6.3100000000000005,5.723750000000001
-78,5.6899999999999995,6.029999999999999,4.955,6.369999999999999,5.761249999999999
-77,5.77,5.975,4.795,6.369999999999999,5.727499999999999
-76,5.94,6.16,4.58,6.26,5.734999999999999
-75,6.135,6.055,4.745,6.2,5.7837499999999995
-74,6.17,5.994999999999999,5.035,6.090000000000001,5.8225
-73,6.1049999999999995,5.815,5.005,6.165,5.7725
-72,5.995,5.84,5.2299999999999995,6.235,5.825
-71,6.0,5.59,5.209999999999999,6.13,5.732499999999999
-70,6.38,5.725,5.3100000000000005,6.0,5.85375
-69,6.365,5.75,5.135,5.995,5.81125
-68,6.359999999999999,5.78,4.784999999999999,6.055,5.745
-67,6.55,5.785,4.79,6.055,5.795
-66,6.275,5.6899999999999995,4.865,6.205,5.758749999999999
-65,6.505,5.4750000000000005,5.04,6.334999999999999,5.838749999999999
-64,6.5,5.255,5.1049999999999995,6.244999999999999,5.776249999999999
-63,6.545,5.1,5.284999999999999,6.245,5.79375
-62,6.325,5.180000000000001,5.494999999999999,5.78,5.695
-61,6.16,5.3100000000000005,5.675,5.734999999999999,5.72
-60,6.130000000000001,5.3149999999999995,5.775,5.92,5.785
-59,5.96,5.255000000000001,6.175,5.86,5.8125
-58,5.765,5.255,6.125,5.8100000000000005,5.73875
-57,5.885,5.2299999999999995,6.0649999999999995,5.86,5.76
