,TSS_7::NC_013691.1:18031-18231(),TSS_8::NC_013691.1:35174-35374(),TSS_9::NC_013691.1:39276-39476(),TSS_10::NC_013691.1:66501-66701(),mean
-100,,,,,
-99,,,,,
-98,,,,,
-97,,,,,
-96,,,,,
-95,,,,,
-94,,,,,
-93,,,,,
-92,,,,,
-91,,,,,
-90,,,,,
-89,,,,,
-88,,,,,
-87,,,,,
-86,,,,,
-85,,,,,
-84,,,,,
-83,,,,,
-82,,,,,
-81,0.06848393959101771,0.019444946703844508,0.03905056798044588,0.07752206725874144,0.05112538038351239
-80,0.10972500106843591,0.056446206817948714,0.0702554354580036,0.1493057751821627,0.09643310463163773
-79,0.10972500106843591,0.0752042058694811,0.07831930800316039,0.1493057751821627,0.10313857253081002
-78,0.10972500106843591,0.07715332349582975,0.07914199151211626,0.1493057751821627,0.10383152281463616
-77,0.10972500106843591,0.08400750935760759,0.08620006804168048,0.1493057751821627,0.10730958841247168
-76,0.10972500106843591,0.09260050793592114,0.0923769818562815,0.1493057751821627,0.11100206651070031
-75,0.11362859700594602,0.10152542845934706,0.0923769818562815,0.1493057751821627,0.11420919562593432
-74,0.11362859700594602,0.10976603720767006,0.0923769818562815,0.1493057751821627,0.11626934781301507
-73,0.12054371521041626,0.11257332233309941,0.0923769818562815,0.1493057751821627,0.11869994864548997
-72,0.12054371521041626,0.12186146904690692,0.09546904451663045,0.1493057751821627,0.12179500098902908
-71,0.12054371521041626,0.1305442314787958,0.10429527597369125,0.1493057751821627,0.1261722494612665
-70,0.09915183802604358,0.1406522812359183,0.10429527597369125,0.13583514374192746,0.11998363474439515
-69,0.0922367198215733,0.16861051751090755,0.10429527597369125,0.1253818471679989,0.12263109011854276
-68,0.08993092129596095,0.18796323746110777,0.09902079962020896,0.12160623871428507,0.12463029927289067
-67,0.08926836779867031,0.18970933380320013,0.09546904451663045,0.12008873210753893,0.12363386955650996
-66,0.08572316539505587,0.19922938125582357,0.0923769818562815,0.11950963468223297,0.12420979079734848
