,TSS_7::NC_013691.1:18031-18231(),TSS_8::NC_013691.1:35174-35374(),TSS_9::NC_013691.1:39276-39476(),TSS_10::NC_013691.1:66501-66701(),mean
-100,,,,,
-99,,,,,
-98,,,,,
-97,,,,,
-96,,,,,
-95,,,,,
-94,,,,,
-93,,,,,
-92,,,,,
-91,,,,,
-90,,,,,
-89,,,,,
-88,,,,,
-87,,,,,
-86,,,,,
-85,,,,,
-84,,,,,
-83,,,,,
-82,,,,,
-81,6.25,5.7,5.699999999999999,6.5,6.0375
-80,6.25,5.7,5.4,6.5,5.9625
-79,6.25,5.75,5.15,6.5,5.9125
-78,6.25,5.7,5.15,6.5,5.9
-77,6.3,5.7,5.15,6.5,5.9125
-76,6.3,5.7,5.1,6.45,5.8875
-75,6.35,5.7,5.1,6.45,5.8999999999999995
-74,6.35,5.7,5.15,6.45,5.9125000000000005
-73,6.3,5.7,5.15,6.45,5.8999999999999995
-72,6.3,5.7,5.2,6.45,5.9125
-71,6.3,5.7,5.2,6.300000000000001,5.875
-70,6.3,5.7,5.4,5.9,5.824999999999999
-69,6.3,5.7,5.2,5.9,5.775
-68,6.3,5.7,5.2,5.9,5.775
-67,6.3,5.7,5.2,5.9,5.775
-66,6.3,5.7,5.2,6.300000000000001,5.875
-65,6.3,5.7,5.2,6.4,5.9
-64,6.3,5.7,5.2,6.300000000000001,5.875
-63,6.3,5.7,5.4,6.300000000000001,5.925
-62,6.3,5.7,5.4,5.9,5.824999999999999
-61,6.3,5.7,5.6,5.65,5.8125
-60,6.25,5.7,5.6,5.7,5.812499999999999
-59,6.2,5.7,5.699999999999999,5.65,5.8125
-58,5.95,5.7,5.699999999999999,5.65,5.75
-57,5.95,5.7,5.6,5.65,5.725
-56,5.95,5.7,5.6,5.7,5.7375
-55,5.95,5.7,5.4,5.7,5.6875
-54,6.2,5.7,5.4,5.7,5.75
-53,6.25,5.7,5.4,5.7,5.7625
-52,6.3,5.7,5.699999999999999,5.7,5.85
-51,6.25,5.7,6.05,5.75,5.9375
