,TSS_1_pos::NC_013691.1:3304-3504(),TSS_2_pos::NC_013691.1:4670-4870(),TSS_3_pos::NC_013691.1:5419-5619(),TSS_4_pos::NC_013691.1:8289-8489(),TSS_5_pos::NC_013691.1:8529-8729(),TSS_6_pos::NC_013691.1:10277-10477(),TSS_7_pos::NC_013691.1:11262-11462(),TSS_8_pos::NC_013691.1:11465-11665(),TSS_9_pos::NC_013691.1:11487-11687(),TSS_10_pos::NC_013691.1:12697-12897(),TSS_11_pos::NC_013691.1:13647-13847(),TSS_12_pos::NC_013691.1:14030-14230(),TSS_13_pos::NC_013691.1:15322-15522(),TSS_14_pos::NC_013691.1:15452-15652(),TSS_15_pos::NC_013691.1:17234-17434(),TSS_16_pos::NC_013691.1:18042-18242(),TSS_17_pos::NC_013691.1:18766-18966(),TSS_18_pos::NC_013691.1:18988-19188(),TSS_19_pos::NC_013691.1:21909-22109(),TSS_20_pos::NC_013691.1:22083-22283(),TSS_21_pos::NC_013691.1:22143-22343(),TSS_22_pos::NC_013691.1:22489-22689(),TSS_23_pos::NC_013691.1:23983-24183(),TSS_24_pos::NC_013691.1:24574-24774(),TSS_25_pos::NC_013691.1:26070-26270(),TSS_26_pos::NC_013691.1:26435-26635(),TSS_27_pos::NC_013691.1:26494-26694(),TSS_28_pos::NC_013691.1:26546-26746(),TSS_29_pos::NC_013691.1:26666-26866(),TSS_30_pos::NC_013691.1:27465-27665(),TSS_31_pos::NC_013691.1:27473-27673(),TSS_32_pos::NC_013691.1:29470-29670(),TSS_33_pos::NC_013691.1:29559-29759(),TSS_34_pos::NC_013691.1:30676-30876(),TSS_35_pos::NC_013691.1:30904-31104(),TSS_36_pos::NC_013691.1:31251-31451(),TSS_37_pos::NC_013691.1:33393-33593(),TSS_38_pos::NC_013691.1:33686-33886(),TSS_39_pos::NC_013691.1:35289-35489(),TSS_40_pos::NC_013691.1:35348-35548(),TSS_41_pos::NC_013691.1:35479-35679(),TSS_42_pos::NC_013691.1:35558-35758(),TSS_43_pos::NC_013691.1:35646-35846(),TSS_44_pos::NC_013691.1:35893-36093(),TSS_45_pos::NC_013691.1:36798-36998(),TSS_46_pos::NC_013691.1:38888-39088(),TSS_47_pos::NC_013691.1:38963-39163(),TSS_48_pos::NC_013691.1:39233-39433(),TSS_49_pos::NC_013691.1:39473-39673(),TSS_50_pos::NC_013691.1:39604-39804(),TSS_51_pos::NC_013691.1:40833-41033(),TSS_52_pos::NC_013691.1:41967-42167(),TSS_53_pos::NC_013691.1:43044-43244(),TSS_54_pos::NC_013691.1:43487-43687(),TSS_55_pos::NC_013691.1:44240-44440(),TSS_56_pos::NC_013691.1:44316-44516(),TSS_57_pos::NC_013691.1:44597-44797(),TSS_58_pos::NC_013691.1:44765-44965(),TSS_59_pos::NC_013691.1:45793-45993(),TSS_60_pos::NC_013691.1:46054-46254(),TSS_61_pos::NC_013691.1:46332-46532(),TSS_62_pos::NC_013691.1:46726-46926(),TSS_63_pos::NC_013691.1:46814-47014(),TSS_64_pos::NC_013691.1:49734-49934(),TSS_65_pos::NC_013691.1:51052-51252(),TSS_66_pos::NC_013691.1:51424-51624(),TSS_67_pos::NC_013691.1:52003-52203(),TSS_68_pos::NC_013691.1:52235-52435(),TSS_69_pos::NC_013691.1:52598-52798(),TSS_70_pos::NC_013691.1:53598-53798(),TSS_71_pos::NC_013691.1:53660-53860(),TSS_72_pos::NC_013691.1:53696-53896(),TSS_73_pos::NC_013691.1:54856-55056(),TSS_74_pos::NC_013691.1:57266-57466(),TSS_75_pos::NC_013691.1:57790-57990(),TSS_76_pos::NC_013691.1:58034-58234(),TSS_77_pos::NC_013691.1:58554-58754(),TSS_78_pos::NC_013691.1:59361-59561(),TSS_79_pos::NC_013691.1:59519-59719(),TSS_80_pos::NC_013691.1:62591-62791(),TSS_81_pos::NC_013691.1:63231-63431(),TSS_82_pos::NC_013691.1:64011-64211(),TSS_83_pos::NC_013691.1:64029-64229(),TSS_84_pos::NC_013691.1:64060-64260(),TSS_85_pos::NC_013691.1:64298-64498(),TSS_86_pos::NC_013691.1:64580-64780(),TSS_87_pos::NC_013691.1:64661-64861(),TSS_88_pos::NC_013691.1:66071-66271(),TSS_89_pos::NC_013691.1:66334-66534(),TSS_90_pos::NC_013691.1:66581-66781(),TSS_91_pos::NC_013691.1:67832-68032(),TSS_92_pos::NC_013691.1:67913-68113(),TSS_93_pos::NC_013691.1:69057-69257(),TSS_94_pos::NC_013691.1:69709-69909(),TSS_95_pos::NC_013691.1:69886-70086(),TSS_96_pos::NC_013691.1:70235-70435(),TSS_97_pos::NC_013691.1:70311-70511(),TSS_98_pos::NC_013691.1:70907-71107(),TSS_99_pos::NC_013691.1:72890-73090(),TSS_100_pos::NC_013691.1:73640-73840(),TSS_1_neg::NC_013691.1:371-571(),TSS_2_neg::NC_013691.1:1996-2196(),TSS_3_neg::NC_013691.1:3094-3294(),TSS_4_neg::NC_013691.1:3419-3619(),TSS_5_neg::NC_013691.1:3796-3996(),TSS_6_neg::NC_013691.1:4875-5075(),TSS_7_neg::NC_013691.1:6407-6607(),TSS_8_neg::NC_013691.1:6564-6764(),TSS_9_neg::NC_013691.1:8509-8709(),TSS_10_neg::NC_013691.1:9358-9558(),TSS_11_neg::NC_013691.1:10641-10841(),TSS_12_neg::NC_013691.1:10875-11075(),TSS_13_neg::NC_013691.1:11210-11410(),TSS_14_neg::NC_013691.1:11412-11612(),TSS_15_neg::NC_013691.1:12914-13114(),TSS_16_neg::NC_013691.1:13456-13656(),TSS_17_neg::NC_013691.1:13573-13773(),TSS_18_neg::NC_013691.1:13748-13948(),TSS_19_neg::NC_013691.1:14791-14991(),TSS_20_neg::NC_013691.1:15002-15202(),TSS_21_neg::NC_013691.1:16879-17079(),TSS_22_neg::NC_013691.1:17362-17562(),TSS_23_neg::NC_013691.1:18261-18461(),TSS_24_neg::NC_013691.1:18704-18904(),TSS_25_neg::NC_013691.1:19176-19376(),TSS_26_neg::NC_013691.1:20549-20749(),TSS_27_neg::NC_013691.1:20662-20862(),TSS_28_neg::NC_013691.1:22206-22406(),TSS_29_neg::NC_013691.1:22306-22506(),TSS_30_neg::NC_013691.1:24050-24250(),TSS_31_neg::NC_013691.1:24233-24433(),TSS_32_neg::NC_013691.1:24806-25006(),TSS_33_neg::NC_013691.1:26644-26844(),TSS_34_neg::NC_013691.1:27292-27492(),TSS_35_neg::NC_013691.1:27875-28075(),TSS_36_neg::NC_013691.1:31037-31237(),TSS_37_neg::NC_013691.1:31092-31292(),TSS_38_neg::NC_013691.1:31144-31344(),TSS_39_neg::NC_013691.1:31493-31693(),TSS_40_neg::NC_013691.1:31664-31864(),TSS_41_neg::NC_013691.1:31927-32127(),TSS_42_neg::NC_013691.1:33246-33446(),TSS_43_neg::NC_013691.1:33395-33595(),TSS_44_neg::NC_013691.1:33577-33777(),TSS_45_neg::NC_013691.1:33780-33980(),TSS_46_neg::NC_013691.1:34642-34842(),TSS_47_neg::NC_013691.1:39056-39256(),TSS_48_neg::NC_013691.1:40187-40387(),TSS_49_neg::NC_013691.1:42201-42401(),TSS_50_neg::NC_013691.1:42753-42953(),TSS_51_neg::NC_013691.1:44026-44226(),TSS_52_neg::NC_013691.1:44981-45181(),TSS_53_neg::NC_013691.1:45537-45737(),TSS_54_neg::NC_013691.1:46428-46628(),TSS_55_neg::NC_013691.1:46532-46732(),TSS_56_neg::NC_013691.1:46561-46761(),TSS_57_neg::NC_013691.1:47263-47463(),TSS_58_neg::NC_013691.1:47720-47920(),TSS_59_neg::NC_013691.1:47819-48019(),TSS_60_neg::NC_013691.1:48230-48430(),TSS_61_neg::NC_013691.1:48417-48617(),TSS_62_neg::NC_013691.1:48924-49124(),TSS_63_neg::NC_013691.1:49313-49513(),TSS_64_neg::NC_013691.1:49744-49944(),TSS_65_neg::NC_013691.1:50555-50755(),TSS_66_neg::NC_013691.1:51046-51246(),TSS_67_neg::NC_013691.1:51400-51600(),TSS_68_neg::NC_013691.1:51541-51741(),TSS_69_neg::NC_013691.1:53485-53685(),TSS_70_neg::NC_013691.1:53769-53969(),TSS_71_neg::NC_013691.1:54819-55019(),TSS_72_neg::NC_013691.1:55421-55621(),TSS_73_neg::NC_013691.1:56004-56204(),TSS_74_neg::NC_013691.1:56060-56260(),TSS_75_neg::NC_013691.1:56851-57051(),TSS_76_neg::NC_013691.1:58077-58277(),TSS_77_neg::NC_013691.1:60360-60560(),TSS_78_neg::NC_013691.1:60711-60911(),TSS_79_neg::NC_013691.1:61484-61684(),TSS_80_neg::NC_013691.1:63011-63211(),TSS_81_neg::NC_013691.1:63288-63488(),TSS_82_neg::NC_013691.1:63920-64120(),TSS_83_neg::NC_013691.1:66411-66611(),TSS_84_neg::NC_013691.1:67711-67911(),TSS_85_neg::NC_013691.1:67802-68002(),TSS_86_neg::NC_013691.1:67824-68024(),TSS_87_neg::NC_013691.1:67881-68081(),TSS_88_neg::NC_013691.1:68263-68463(),TSS_89_neg::NC_013691.1:68416-68616(),TSS_90_neg::NC_013691.1:68534-68734(),TSS_91_neg::NC_013691.1:69270-69470(),TSS_92_neg::NC_013691.1:70649-70849(),TSS_93_neg::NC_013691.1:71467-71667(),TSS_94_neg::NC_013691.1:72071-72271(),TSS_95_neg::NC_013691.1:72163-72363(),TSS_96_neg::NC_013691.1:72547-72747(),TSS_97_neg::NC_013691.1:72618-72818(),TSS_98_neg::NC_013691.1:72807-73007(),TSS_99_neg::NC_013691.1:73149-73349(),TSS_100_neg::NC_013691.1:73444-73644(),TSS_101_neg::NC_013691.1:73691-73891(),mean
-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
