,TTS_1::Phage_LUZ100_full_genome:682-782(+),TTS_2::Phage_LUZ100_full_genome:2513-2613(+),TTS_3::Phage_LUZ100_full_genome:3935-4035(+),TTS_4::Phage_LUZ100_full_genome:7661-7761(+),TTS_5::Phage_LUZ100_full_genome:8633-8733(+),TTS_6::Phage_LUZ100_full_genome:9191-9291(+),TTS_7::Phage_LUZ100_full_genome:9993-10093(+),TTS_8::Phage_LUZ100_full_genome:10628-10728(+),TTS_9::Phage_LUZ100_full_genome:17146-17246(+),TTS_10::Phage_LUZ100_full_genome:19149-19249(+),TTS_11::Phage_LUZ100_full_genome:20332-20432(+),TTS_12::Phage_LUZ100_full_genome:20778-20878(+),TTS_13::Phage_LUZ100_full_genome:22144-22244(+),TTS_14::Phage_LUZ100_full_genome:37066-37166(+)
-50,,,,,,,,,,,,,,
-49,,,,,,,,,,,,,,
-48,,,,,,,,,,,,,,
-47,,,,,,,,,,,,,,
-46,,,,,,,,,,,,,,
-45,,,,,,,,,,,,,,
-44,,,,,,,,,,,,,,
-43,,,,,,,,,,,,,,
-42,,,,,,,,,,,,,,
-41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-40,0.020217637753134104,0.021400148714283244,0.00979831635326611,0.010561053266214126,0.011265235327293278,0.006863392161974772,0.013821175221307356,0.007445835380368783,0.006054752922459158,0.0182473348433475,0.0028568729915561075,0.021085294276783607,0.0052309006983930675,0.03182236919475208
-39,0.03942704692727873,0.04220342604589365,0.022049247753936168,0.019238695257413334,0.02433710478889245,0.012974019631783202,0.02772776238636494,0.016737760002760265,0.013647662924427326,0.035452303892250105,0.005646591333402388,0.04271294651679524,0.010469994641650502,0.058663311567896746
-38,0.058061199612224376,0.062466137365505235,0.03662001692912452,0.027019647290615418,0.038805976489793115,0.017798564313600995,0.04217476674534697,0.027445101506454656,0.021454858140613996,0.05035858027518575,0.010002140287410286,0.06350198616478268,0.017676960434438883,0.07944420813703232
-37,0.07607356140577529,0.08101355306017721,0.05166060225486889,0.03333962353836153,0.05474614984222668,0.0213940287477088,0.056901861591812,0.03807782765055681,0.028841343711085286,0.06068632835254908,0.0167819930562835,0.08150698240435082,0.02751642029195369,0.09461058281898585
-36,0.09359888598262232,0.09674086307676337,0.06635589613501792,0.03663336151145331,0.07232138393997609,0.023806705171936858,0.07164064847570009,0.048839968638752,0.03514852506712342,0.06608522123968996,0.02494844446410165,0.09697933759405046,0.039938365227982116,0.10525585001538089
-35,0.11109809642312352,0.10986185786709975,0.07997948884900621,0.03772225318148022,0.091332240791311,0.025917664647691397,0.08577450180928575,0.05970345322345483,0.04173785878082588,0.06819502600221575,0.035285395809053995,0.10972574654033118,0.05547722409839082,0.11362927130892406
-34,0.13076281147183705,0.12028236694690855,0.09295986494384505,0.040270725493912474,0.11074392019223689,0.029563419717649763,0.099498914202872,0.06919195160468382,0.04946477067025652,0.07305368787917559,0.04787829819220708,0.11974346356017318,0.07244108421252435,0.12305739771921628
-33,0.15134832585494398,0.1281603071135087,0.10568268081689527,0.045324385537973425,0.12907188884528448,0.034024665746781216,0.11223925644987531,0.07661893859759175,0.05831500012657211,0.07998011127151027,0.06235042583807129,0.1285595786854259,0.0906619977297389,0.13578961148672417
-32,0.17294446383804912,0.13462145452574753,0.11795915117851126,0.05235848907594696,0.1472684330271579,0.039717878723476596,0.12402948270335137,0.08195375891228815,0.06854736691840829,0.08590937399734858,0.07827877130673544,0.1361049376073609,0.11084599676223812,0.1531406687374531
-31,0.19541108690515138,0.13995793500210885,0.13025012972274805,0.06047811861158832,0.16531560593381778,0.045826645402032684,0.13510936057969708,0.08720315720343692,0.08034005267445131,0.09122195195376928,0.09628872130578318,0.14151631760351213,0.1332499430121506,0.17457433958625185
-30,0.19777374385557045,0.12369081873742811,0.13366159380473439,0.05860742182620372,0.17208569976964433,0.04598156319021872,0.13199164097273114,0.08657315634562177,0.08731533622750873,0.07763945397228801,0.1132459502190825,0.12382538719524636,0.15209325365683876,0.16703043133730505
-29,0.20154230104402782,0.1070989246950141,0.1365068467936394,0.05952397719722937,0.17704917194147257,0.04830924342907497,0.12839698695677745,0.08714253544895599,0.09353569246349444,0.06453214943115806,0.13171305854845136,0.10346123080996131,0.17146442666466988,0.16589597469380707
-28,0.20594298362451924,0.09033910748701367,0.13792970088258694,0.06252329050957703,0.1805326535276735,0.05352003480575228,0.12400233378332029,0.08920948096607365,0.09901362169594155,0.05371918717127747,0.1500004971977456,0.0861522947397738,0.19002056131898853,0.17169727713979718
