,TSS_1::NC_013691.1:0-200(),TSS_2::NC_013691.1:711-911(),TSS_3::NC_013691.1:3582-3782(),TSS_4::NC_013691.1:3615-3815(),TSS_5::NC_013691.1:8160-8360(),TSS_6::NC_013691.1:9444-9644(),mean
-100,,,,,,,
-99,,,,,,,
-98,,,,,,,
-97,,,,,,,
-96,,,,,,,
-95,,,,,,,
-94,,,,,,,
-93,,,,,,,
-92,,,,,,,
-91,,,,,,,
-90,,,,,,,
-89,,,,,,,
-88,,,,,,,
-87,,,,,,,
-86,,,,,,,
-85,,,,,,,
-84,,,,,,,
-83,,,,,,,
-82,,,,,,,
-81,5.35,5.32,5.16,5.58,6.459999999999999,5.07,5.489999999999999
-80,5.35,5.5,4.82,5.425,6.154999999999999,5.175,5.404166666666666
-79,5.285,5.675,4.92,5.42,6.12,5.415,5.4725
-78,5.225,5.71,5.295,5.92,6.035,5.7,5.6475
-77,5.18,5.9350000000000005,5.55,6.17,5.865,5.7,5.733333333333334
-76,5.42,5.63,5.05,5.805,5.845000000000001,5.28,5.505
-75,5.26,5.680000000000001,5.075,5.755000000000001,5.785,5.24,5.465833333333333
-74,5.44,5.44,5.3,5.7700000000000005,5.535,5.575,5.510000000000001
-73,5.34,5.51,5.1899999999999995,5.5600000000000005,5.58,5.739999999999999,5.486666666666667
-72,5.25,5.775,5.3,5.46,5.369999999999999,5.694999999999999,5.4750000000000005
-71,5.1,5.725,5.124999999999999,5.435,5.3950000000000005,5.7749999999999995,5.425833333333333
-70,5.205,5.505,5.41,5.45,5.51,6.0200000000000005,5.516666666666667
-69,5.180000000000001,5.545,5.470000000000001,5.495,5.755,6.035,5.580000000000001
-68,5.18,5.42,5.23,5.76,5.995,6.109999999999999,5.615833333333334
-67,5.295,5.275,5.585,5.984999999999999,5.909999999999999,6.135,5.697500000000001
-66,4.965,5.4,5.66,5.675,5.615,6.095000000000001,5.5683333333333325
-65,4.9,5.165,5.25,5.18,5.5,6.125,5.353333333333334
