,TSS_5::NC_013691.1:26542-26742(),TSS_6::NC_013691.1:28760-28960(),TSS_8::NC_013691.1:59661-59861(),mean
-100,,,,
-99,,,,
-98,,,,
-97,,,,
-96,,,,
-95,,,,
-94,,,,
-93,,,,
-92,,,,
-91,,,,
-90,,,,
-89,,,,
-88,,,,
-87,,,,
-86,,,,
-85,,,,
-84,,,,
-83,,,,
-82,,,,
-81,-1.3,-1.475,-1.6400000000000001,-1.471666666666667
-80,-1.3,-1.4449999999999998,-1.6400000000000001,-1.4616666666666667
-79,-1.3,-1.475,-1.6400000000000001,-1.471666666666667
-78,-1.37,-1.475,-1.44,-1.4283333333333335
-77,-1.37,-1.5,-1.44,-1.4366666666666668
-76,-1.3,-1.5,-1.44,-1.4133333333333333
-75,-1.3,-1.475,-1.44,-1.405
-74,-1.3,-1.475,-1.44,-1.405
-73,-1.3,-1.475,-1.44,-1.405
-72,-1.3,-1.5,-1.44,-1.4133333333333333
-71,-1.3,-1.5,-1.44,-1.4133333333333333
-70,-1.3,-1.475,-1.44,-1.405
-69,-1.3,-1.4449999999999998,-1.44,-1.3950000000000002
-68,-1.37,-1.4449999999999998,-1.44,-1.4183333333333332
-67,-1.44,-1.475,-1.47,-1.4616666666666667
-66,-1.44,-1.4449999999999998,-1.67,-1.5183333333333333
-65,-1.44,-1.37,-1.67,-1.4933333333333334
-64,-1.44,-1.47,-1.67,-1.5266666666666666
-63,-1.44,-1.47,-1.67,-1.5266666666666666
-62,-1.44,-1.37,-1.67,-1.4933333333333334
-61,-1.44,-1.47,-1.67,-1.5266666666666666
-60,-1.37,-1.4,-1.67,-1.4799999999999998
-59,-1.3,-1.4,-1.67,-1.4566666666666668
-58,-1.3,-1.3,-1.67,-1.4233333333333331
-57,-1.3,-1.3,-1.67,-1.4233333333333331
-56,-1.3,-1.3,-1.67,-1.4233333333333331
-55,-1.3,-1.3,-1.5,-1.3666666666666665
-54,-1.3,-1.3,-1.5,-1.3666666666666665
-53,-1.3,-1.3,-1.475,-1.3583333333333334
