,TTS_1::Phage_LUZ100_full_genome:682-782(+),TTS_2::Phage_LUZ100_full_genome:2513-2613(+),TTS_3::Phage_LUZ100_full_genome:3935-4035(+),TTS_4::Phage_LUZ100_full_genome:7661-7761(+),TTS_5::Phage_LUZ100_full_genome:8633-8733(+),TTS_6::Phage_LUZ100_full_genome:9191-9291(+),TTS_7::Phage_LUZ100_full_genome:9993-10093(+),TTS_8::Phage_LUZ100_full_genome:10628-10728(+),TTS_9::Phage_LUZ100_full_genome:17146-17246(+),TTS_10::Phage_LUZ100_full_genome:19149-19249(+),TTS_11::Phage_LUZ100_full_genome:20332-20432(+),TTS_12::Phage_LUZ100_full_genome:20778-20878(+),TTS_13::Phage_LUZ100_full_genome:22144-22244(+),TTS_14::Phage_LUZ100_full_genome:37066-37166(+)
-50,,,,,,,,,,,,,,
-49,,,,,,,,,,,,,,
-48,,,,,,,,,,,,,,
-47,,,,,,,,,,,,,,
-46,,,,,,,,,,,,,,
-45,,,,,,,,,,,,,,
-44,,,,,,,,,,,,,,
-43,,,,,,,,,,,,,,
-42,,,,,,,,,,,,,,
-41,,,,,,,,,,,,,,
-40,,,,,,,,,,,,,,
-39,,,,,,,,,,,,,,
-38,,,,,,,,,,,,,,
-37,,,,,,,,,,,,,,
-36,,,,,,,,,,,,,,
-35,,,,,,,,,,,,,,
-34,,,,,,,,,,,,,,
-33,,,,,,,,,,,,,,
-32,,,,,,,,,,,,,,
-31,4.93,5.659999999999999,5.685,6.409999999999999,5.8100000000000005,5.6049999999999995,5.535,4.915,5.9350000000000005,4.795,5.665,6.115,5.63,4.87
-30,5.0,5.834999999999999,5.65,6.484999999999999,5.67,5.6049999999999995,5.505,4.7,5.8950000000000005,4.58,5.6899999999999995,6.135,5.705,4.9799999999999995
-29,4.859999999999999,5.72,5.369999999999999,6.3950000000000005,5.340000000000001,5.38,5.404999999999999,4.6450000000000005,5.819999999999999,4.525,5.83,6.25,5.5649999999999995,4.959999999999999
-28,4.779999999999999,5.88,5.755,6.325,5.365,5.535,5.475,4.654999999999999,5.744999999999999,4.55,5.715,6.225,5.5649999999999995,5.24
-27,4.8100000000000005,5.65,5.7299999999999995,6.234999999999999,5.425,5.5200000000000005,5.52,4.915,5.7299999999999995,4.775,5.619999999999999,6.5200000000000005,5.8149999999999995,5.1450000000000005
-26,4.865,5.515,5.325,6.205,5.59,5.430000000000001,5.5,4.885,5.975,4.575,5.795,6.545,5.95,5.3549999999999995
-25,4.86,5.36,5.404999999999999,5.92,5.54,5.43,5.26,4.71,6.09,4.55,5.35,6.409999999999999,5.845,5.76
-24,4.959999999999999,5.34,5.38,6.17,5.48,5.525,5.095000000000001,4.64,6.0649999999999995,4.3549999999999995,5.455,6.26,5.7700000000000005,5.79
-23,5.01,5.12,5.494999999999999,6.17,5.8549999999999995,5.42,5.035,5.015,5.895,4.7299999999999995,5.475,6.13,6.0,6.1
-22,5.1450000000000005,5.3,5.305,6.17,5.83,5.249999999999999,5.325,4.99,6.025,4.4,5.525,6.305,5.725,5.745
-21,5.0200000000000005,5.09,5.614999999999999,5.9,5.61,5.205,5.380000000000001,4.885,5.625,4.38,5.4399999999999995,6.57,6.17,5.630000000000001
-20,4.680000000000001,5.09,5.51,5.779999999999999,5.88,5.58,5.135,5.095000000000001,5.465,4.444999999999999,5.15,6.63,6.154999999999999,5.699999999999999
-19,4.68,5.17,5.909999999999999,5.755,5.87,5.505,5.0649999999999995,5.015,5.47,4.5,5.1049999999999995,6.65,6.15,5.645
-18,4.68,5.194999999999999,5.68,5.574999999999999,5.805000000000001,5.755000000000001,5.0649999999999995,5.235,5.41,4.705,5.105,6.409999999999999,6.119999999999999,5.795
-17,4.68,4.819999999999999,5.595,5.675,5.76,5.82,5.135,4.8950000000000005,5.37,4.95,5.154999999999999,6.464999999999999,5.685,5.505
-16,4.680000000000001,5.195,5.515,5.705,5.925,6.01,5.029999999999999,4.87,5.375,4.97,5.375,6.3100000000000005,5.9399999999999995,5.635
-15,4.68,5.029999999999999,5.505,5.75,6.19,6.255,4.965,5.275,5.525,5.194999999999999,5.415,5.935,5.685,5.785
-14,5.115,5.275,5.38,5.89,6.154999999999999,6.505,5.08,5.38,5.665,5.035,5.42,5.635,5.88,5.92
-13,4.84,5.365,5.529999999999999,5.75,6.279999999999999,6.529999999999999,5.165,5.625,5.765,5.4399999999999995,5.425,5.82,5.819999999999999,5.8950000000000005
-12,4.725,5.43,5.369999999999999,5.83,6.145,6.404999999999999,5.29,5.35,5.72,5.64,5.54,5.845000000000001,5.714999999999999,6.055
