,TSS_1::NC_013691.1:0-200(),TSS_2::NC_013691.1:711-911(),TSS_3::NC_013691.1:3582-3782(),TSS_4::NC_013691.1:3615-3815(),TSS_5::NC_013691.1:8160-8360(),TSS_6::NC_013691.1:9444-9644(),mean
-100,,,,,,,
-99,,,,,,,
-98,,,,,,,
-97,,,,,,,
-96,,,,,,,
-95,,,,,,,
-94,,,,,,,
-93,,,,,,,
-92,,,,,,,
-91,,,,,,,
-90,,,,,,,
-89,,,,,,,
-88,,,,,,,
-87,,,,,,,
-86,,,,,,,
-85,,,,,,,
-84,,,,,,,
-83,,,,,,,
-82,,,,,,,
-81,5.95,5.75,5.5,5.95,6.4,5.4,5.824999999999999
-80,5.95,5.8,5.2,5.65,6.4,5.9,5.816666666666666
-79,5.95,5.8,5.2,5.65,6.4,6.2,5.866666666666667
-78,5.45,6.0,5.5,5.95,6.1,6.2,5.866666666666667
-77,5.45,6.0,6.0,5.95,6.0,6.2,5.933333333333334
-76,5.95,5.8,5.5,5.65,6.0,6.0,5.816666666666666
-75,5.95,6.0,5.5,5.65,5.5,5.8,5.733333333333333
-74,6.300000000000001,5.5,6.0,5.65,5.2,6.0,5.775000000000001
-73,6.2,6.0,5.7,5.35,5.2,6.0,5.741666666666667
-72,5.95,6.2,6.0,5.35,5.2,6.0,5.783333333333334
-71,5.7,6.2,5.5,5.1,5.4,6.0,5.6499999999999995
-70,5.7,6.0,6.0,5.1,5.699999999999999,6.2,5.783333333333332
-69,5.7,6.2,6.300000000000001,5.1,5.8,6.300000000000001,5.900000000000001
-68,5.7,6.2,6.0,5.65,6.0,6.4,5.991666666666666
-67,5.7,6.2,6.300000000000001,6.2,5.8,6.4,6.1000000000000005
-66,5.7,6.2,6.300000000000001,5.65,5.699999999999999,6.300000000000001,5.9750000000000005
-65,5.7,6.2,6.0,5.1,5.699999999999999,6.300000000000001,5.833333333333333
-64,5.7,6.300000000000001,6.0,5.65,5.8,6.300000000000001,5.958333333333333
-63,5.7,6.4,6.300000000000001,5.65,5.8,6.2,6.008333333333334
