,TTS_2::NC_011703.1:128-228(-),TTS_3::NC_011703.1:3462-3562(-),TTS_4::NC_011703.1:3531-3631(-),TTS_5::NC_011703.1:5569-5669(-),TTS_6::NC_011703.1:35770-35870(-),TTS_7::NC_011703.1:37239-37339(-),TTS_8::NC_011703.1:38449-38549(-),TTS_9::NC_011703.1:50273-50373(-),TTS_10::NC_011703.1:51039-51139(-),TTS_11::NC_011703.1:51304-51404(-),TTS_12::NC_011703.1:60533-60633(-),TTS_13::NC_011703.1:62419-62519(-)
-50,,,,,,,,,,,,
-49,,,,,,,,,,,,
-48,,,,,,,,,,,,
-47,,,,,,,,,,,,
-46,,,,,,,,,,,,
-45,,,,,,,,,,,,
-44,,,,,,,,,,,,
-43,,,,,,,,,,,,
-42,,,,,,,,,,,,
-41,,,,,,,,,,,,
-40,,,,,,,,,,,,
-39,,,,,,,,,,,,
-38,,,,,,,,,,,,
-37,,,,,,,,,,,,
-36,,,,,,,,,,,,
-35,,,,,,,,,,,,
-34,,,,,,,,,,,,
-33,,,,,,,,,,,,
-32,,,,,,,,,,,,
-31,5.34,4.805,4.485,5.575,5.444999999999999,5.68,4.875,5.805,5.3549999999999995,4.465,3.84,5.1
-30,5.465,5.06,4.4399999999999995,5.664999999999999,5.24,5.8149999999999995,4.86,5.9799999999999995,5.194999999999999,4.369999999999999,3.8950000000000005,5.05
-29,5.365,4.865,4.515,5.784999999999999,4.92,5.965,4.86,6.01,5.2299999999999995,4.095000000000001,4.069999999999999,4.584999999999999
-28,5.6049999999999995,4.7700000000000005,4.44,5.585,4.595000000000001,5.965,5.085,6.12,5.35,3.775,3.9899999999999998,4.8100000000000005
-27,5.795,5.1,4.4,5.58,4.569999999999999,5.964999999999999,5.26,5.875,5.35,3.2949999999999995,3.9850000000000003,4.915
-26,5.7749999999999995,5.26,4.6899999999999995,5.25,4.395,5.784999999999999,5.01,5.659999999999999,5.154999999999999,3.7449999999999997,4.025,5.01
-25,5.975,5.225,4.6899999999999995,5.43,4.43,5.465,4.8950000000000005,5.715,5.22,3.9200000000000004,4.47,5.03
-24,5.955,5.555,4.58,5.249999999999999,4.529999999999999,5.35,4.74,5.995,5.1450000000000005,3.6399999999999997,4.66,5.1450000000000005
-23,5.76,5.5,4.630000000000001,5.470000000000001,4.675,5.24,4.785,5.915,5.18,3.5449999999999995,4.909999999999999,5.255
-22,5.76,5.654999999999999,4.584999999999999,5.325,4.68,5.225,4.994999999999999,5.955,5.3549999999999995,3.6999999999999993,4.985,5.444999999999999
-21,5.62,5.985,4.605,5.359999999999999,4.68,5.319999999999999,5.209999999999999,6.194999999999999,5.275,4.084999999999999,4.875,5.54
-20,5.775,6.17,5.07,5.27,4.75,5.194999999999999,5.345000000000001,6.35,5.12,4.154999999999999,4.9399999999999995,5.654999999999999
-19,5.975,5.994999999999999,5.195,5.245,5.214999999999999,5.194999999999999,5.325,6.459999999999999,5.125,4.175,5.075,5.555000000000001
-18,5.799999999999999,6.175,5.375,5.475,4.99,5.194999999999999,5.275,6.57,5.194999999999999,4.215,5.395,5.47
-17,5.619999999999999,6.045,5.485,5.595,4.665,5.045,5.335,6.435,5.24,4.319999999999999,5.515,5.49
-16,5.779999999999999,6.119999999999999,5.325,5.59,4.8950000000000005,4.81,5.55,6.124999999999999,5.125,4.24,5.3,5.529999999999999
-15,5.539999999999999,6.075,5.575,5.414999999999999,5.255,4.855,5.4,5.8149999999999995,5.1850000000000005,4.084999999999999,5.17,5.51
-14,5.484999999999999,5.915,5.45,5.7700000000000005,5.255000000000001,4.779999999999999,5.425,5.485,5.3950000000000005,4.159999999999999,5.195,5.58
-13,5.52,6.095,5.45,5.819999999999999,5.255,4.675,5.05,5.595,5.4,4.205,5.0600000000000005,5.699999999999999
-12,5.6,5.875,5.32,5.819999999999999,5.095,4.825,5.31,5.42,5.46,4.38,5.0600000000000005,5.765
-11,5.38,5.985,5.375,5.819999999999999,4.9350000000000005,4.825,5.374999999999999,5.45,5.36,4.6049999999999995,5.195,6.165
-10,5.234999999999999,6.025,5.26,5.695,5.34,4.76,5.279999999999999,5.21,5.42,4.835,5.17,6.2299999999999995
-9,5.2700000000000005,6.045,5.285,5.694999999999999,5.745,4.635,5.359999999999999,5.18,5.365,5.24,5.4,6.525
-8,4.985,6.14,5.279999999999999,5.675,5.975,5.01,5.27,5.279999999999999,5.444999999999999,5.45,5.715,6.279999999999999
-7,4.72,6.07,5.375,5.485,5.975,4.89,5.225,5.33,5.54,5.74,5.67,6.375
-6,4.8950000000000005,5.7299999999999995,5.12,5.7299999999999995,5.745,5.1,5.225,5.28,5.475,5.51,5.35,6.279999999999999
