,TSS_7::NC_013691.1:18031-18231(),TSS_8::NC_013691.1:35174-35374(),TSS_9::NC_013691.1:39276-39476(),TSS_10::NC_013691.1:66501-66701(),mean
-100,,,,,
-99,,,,,
-98,,,,,
-97,,,,,
-96,,,,,
-95,,,,,
-94,,,,,
-93,,,,,
-92,,,,,
-91,,,,,
-90,,,,,
-89,,,,,
-88,,,,,
-87,,,,,
-86,-1.2546666666666666,-1.476,-1.398,-1.3946666666666667,-1.3808333333333334
-85,-1.2346666666666666,-1.4653333333333332,-1.378,-1.3459999999999999,-1.3559999999999999
-84,-1.2446666666666666,-1.4519999999999997,-1.3746666666666667,-1.282,-1.3383333333333334
-83,-1.2673333333333332,-1.442,-1.4006666666666667,-1.282,-1.348
-82,-1.2673333333333334,-1.478,-1.4586666666666666,-1.2926666666666666,-1.3741666666666665
-81,-1.2313333333333334,-1.504,-1.472,-1.3073333333333332,-1.3786666666666665
-80,-1.2806666666666666,-1.5146666666666668,-1.3893333333333333,-1.3553333333333333,-1.385
-79,-1.3073333333333332,-1.5146666666666666,-1.4006666666666665,-1.3546666666666667,-1.3943333333333334
-78,-1.318,-1.5046666666666666,-1.4193333333333333,-1.2706666666666666,-1.3781666666666665
-77,-1.3820000000000001,-1.5046666666666666,-1.3619999999999999,-1.272,-1.3801666666666668
-76,-1.4286666666666668,-1.5046666666666666,-1.3359999999999999,-1.3053333333333332,-1.3936666666666668
-75,-1.4280000000000002,-1.5046666666666666,-1.321333333333333,-1.3633333333333333,-1.4043333333333332
-74,-1.492,-1.4826666666666666,-1.3586666666666667,-1.4213333333333333,-1.4386666666666668
-73,-1.5979999999999999,-1.4826666666666668,-1.3626666666666667,-1.444,-1.4718333333333333
-72,-1.5973333333333335,-1.464,-1.3593333333333333,-1.4573333333333334,-1.4695000000000003
-71,-1.596,-1.4746666666666668,-1.4373333333333336,-1.4313333333333333,-1.4848333333333334
-70,-1.6146666666666667,-1.5120000000000002,-1.4706666666666668,-1.4800000000000002,-1.5193333333333334
