,TSS_1::NC_011703.1:607-807(),TSS_2::NC_011703.1:4379-4579(),TSS_3::NC_011703.1:6537-6737(),TSS_4::NC_011703.1:8584-8784(),TSS_5::NC_011703.1:9016-9216(),TSS_6::NC_011703.1:39381-39581(),TSS_7::NC_011703.1:49134-49334(),TSS_8::NC_011703.1:51217-51417(),TSS_9::NC_011703.1:52973-53173(),TSS_10::NC_011703.1:61200-61400(),TSS_11::NC_011703.1:62317-62517(),TSS_12::NC_011703.1:65140-65340(),mean
-100,,,,,,,,,,,,,
-99,,,,,,,,,,,,,
-98,,,,,,,,,,,,,
-97,,,,,,,,,,,,,
-96,,,,,,,,,,,,,
-95,,,,,,,,,,,,,
-94,,,,,,,,,,,,,
-93,,,,,,,,,,,,,
-92,,,,,,,,,,,,,
-91,,,,,,,,,,,,,
-90,,,,,,,,,,,,,
-89,,,,,,,,,,,,,
-88,,,,,,,,,,,,,
-87,,,,,,,,,,,,,
-86,-1.498,-1.584,-1.5493333333333335,-1.302,-1.4280000000000002,-1.5573333333333332,-1.542,-1.6006666666666667,-1.6186666666666667,-1.4340000000000002,-1.5473333333333334,-1.55,-1.5176111111111112
-85,-1.562,-1.584,-1.5506666666666666,-1.3486666666666667,-1.45,-1.5386666666666666,-1.486,-1.5180000000000002,-1.6966666666666668,-1.4633333333333334,-1.562,-1.5006666666666666,-1.5217222222222224
-84,-1.6200000000000003,-1.5733333333333333,-1.502,-1.3473333333333335,-1.4053333333333333,-1.5093333333333334,-1.4673333333333332,-1.4693333333333334,-1.7113333333333334,-1.4633333333333334,-1.5919999999999999,-1.512,-1.514388888888889
-83,-1.6333333333333333,-1.5686666666666667,-1.438,-1.3473333333333335,-1.3719999999999999,-1.4453333333333334,-1.4673333333333332,-1.4693333333333334,-1.6333333333333333,-1.5226666666666668,-1.6406666666666667,-1.5013333333333334,-1.503277777777778
