,TSS_1::NC_013691.1:0-200(),TSS_2::NC_013691.1:711-911(),TSS_3::NC_013691.1:3582-3782(),TSS_4::NC_013691.1:3615-3815(),TSS_5::NC_013691.1:8160-8360(),TSS_6::NC_013691.1:9444-9644(),mean
-100,,,,,,,
-99,,,,,,,
-98,,,,,,,
-97,,,,,,,
-96,,,,,,,
-95,,,,,,,
-94,,,,,,,
-93,,,,,,,
-92,,,,,,,
-91,,,,,,,
-90,,,,,,,
-89,,,,,,,
-88,,,,,,,
-87,,,,,,,
-86,,,,,,,
-85,,,,,,,
-84,,,,,,,
-83,,,,,,,
-82,,,,,,,
-81,0.055100806728636466,0.030073075162524398,0.07265284273804531,0.05934275605472866,0.042587615451381525,0.052765771759583614,0.05208714464914999
-80,0.05952381324459284,0.031151423212778258,0.07856681898886661,0.06251182066000725,0.044269131654778915,0.06098380079938248,0.056167801426734394
-79,0.06318069048169714,0.03304978318949603,0.08539803268340478,0.06479505020166314,0.045753930842247055,0.06844316888274402,0.06010344271354203
-78,0.06602414114124919,0.03542314936558483,0.0925457880604726,0.06648728156370673,0.04695302840341414,0.0751929021608854,0.06377104844921883
-77,0.06832160363098455,0.03809789043895152,0.10056160902922293,0.06755738643822794,0.04830969526115657,0.08117883529569725,0.06733783668237346
-76,0.07033038896937763,0.04110343931903769,0.10984900933034636,0.06847310521355293,0.04985799616037739,0.08663927124863197,0.07104220170688733
-75,0.07215990240544443,0.044371882367138994,0.11967000443434009,0.06983429473380019,0.051483402287557024,0.09171738171059521,0.074872811323146
-74,0.07434699072349263,0.047553351613710285,0.12948043094817202,0.0712396876960218,0.053210051664531785,0.09623957178351233,0.07867834740490681
-73,0.07702467193857658,0.05054816789871388,0.1396503292601067,0.07285265822295504,0.05520575965450518,0.09979448300140015,0.08251267832937627
-72,0.0800863633167779,0.05342474456277446,0.15042915494973577,0.07538633087785293,0.05760957718053302,0.1025153187060569,0.08657524826562184
-71,0.08343290250695663,0.05657773461222099,0.16118540622710636,0.07799057664334985,0.06050986923661435,0.10444857066107346,0.09069084331455361
