,TSS_1::NC_011703.1:18599-18799(),mean
-100,,
-99,,
-98,,
-97,,
-96,,
-95,,
-94,,
-93,,
-92,,
-91,,
-90,,
-89,,
-88,,
-87,,
-86,,
-85,,
-84,,
-83,,
-82,,
-81,,
-80,,
-79,,
-78,,
-77,,
-76,,
-75,,
-74,,
-73,,
-72,,
-71,,
-70,,
-69,,
-68,,
-67,,
-66,,
-65,,
-64,,
-63,,
-62,,
-61,,
-60,,
-59,,
-58,,
-57,,
-56,,
-55,,
-54,,
-53,,
-52,,
-51,5.364,5.364
-50,5.3,5.3
-49,5.31,5.31
-48,5.206,5.206
-47,5.284,5.284
-46,5.31,5.31
-45,5.246,5.246
-44,5.297999999999999,5.297999999999999
-43,5.328,5.328
-42,5.244,5.244
-41,5.224,5.224
-40,5.276,5.276
-39,5.358,5.358
-38,5.314,5.314
-37,5.37,5.37
-36,5.361999999999999,5.361999999999999
-35,5.372000000000001,5.372000000000001
-34,5.476,5.476
-33,5.295999999999999,5.295999999999999
-32,5.3420000000000005,5.3420000000000005
-31,5.297999999999999,5.297999999999999
-30,5.297999999999999,5.297999999999999
-29,5.274,5.274
-28,5.294,5.294
-27,5.296,5.296
-26,5.343999999999999,5.343999999999999
-25,5.343999999999999,5.343999999999999
-24,5.318,5.318
-23,5.316,5.316
-22,5.308,5.308
-21,5.289999999999999,5.289999999999999
-20,5.292000000000001,5.292000000000001
-19,5.306,5.306
-18,5.425999999999999,5.425999999999999
-17,5.404,5.404
-16,5.422000000000001,5.422000000000001
-15,5.4,5.4
-14,5.457999999999999,5.457999999999999
-13,5.548000000000001,5.548000000000001
-12,5.638,5.638
-11,5.526,5.526
-10,5.542000000000001,5.542000000000001
-9,5.565999999999999,5.565999999999999
-8,5.46,5.46
-7,5.45,5.45
-6,5.574,5.574
-5,5.5120000000000005,5.5120000000000005
-4,5.416,5.416
-3,5.37,5.37
-2,5.494,5.494
-1,5.38,5.38
0,5.425999999999999,5.425999999999999
1,5.321999999999999,5.321999999999999
2,5.385999999999999,5.385999999999999
3,5.337999999999999,5.337999999999999
4,5.284,5.284
5,5.325999999999999,5.325999999999999
6,5.318,5.318
7,5.275999999999999,5.275999999999999
8,5.358,5.358
9,5.432,5.432
10,5.44,5.44
11,5.41,5.41
12,5.398,5.398
13,5.342,5.342
14,5.33,5.33
15,5.25,5.25
16,5.148,5.148
17,5.258000000000001,5.258000000000001
18,5.2,5.2
19,5.159999999999999,5.159999999999999
20,5.16,5.16
21,5.114,5.114
22,5.218,5.218
23,5.19,5.19
24,5.13,5.13
25,5.076,5.076
26,5.117999999999999,5.117999999999999
27,5.12,5.12
28,5.056,5.056
29,5.047999999999999,5.047999999999999
30,4.976,4.976
31,5.064,5.064
32,4.9879999999999995,4.9879999999999995
33,4.998,4.998
34,5.005999999999999,5.005999999999999
35,5.077999999999999,5.077999999999999
36,5.076,5.076
37,5.012,5.012
38,4.919999999999999,4.919999999999999
39,4.922,4.922
40,4.808,4.808
41,4.755999999999999,4.755999999999999
42,4.7780000000000005,4.7780000000000005
43,4.776,4.776
44,4.692,4.692
45,4.664,4.664
46,4.562,4.562
47,4.578,4.578
48,4.537999999999999,4.537999999999999
49,4.584,4.584
50,4.47,4.47
51,4.5840000000000005,4.5840000000000005
52,4.584,4.584
53,4.6,4.6
54,4.6979999999999995,4.6979999999999995
55,4.6979999999999995,4.6979999999999995
56,4.5840000000000005,4.5840000000000005
57,4.556,4.556
58,4.545999999999999,4.545999999999999
59,4.492,4.492
60,4.444,4.444
61,4.412,4.412
62,4.446,4.446
63,4.49,4.49
64,4.514,4.514
65,4.628,4.628
66,4.6579999999999995,4.6579999999999995
67,4.574,4.574
68,4.614,4.614
69,4.728,4.728
70,4.688,4.688
71,4.8,4.8
72,4.8,4.8
73,4.808,4.808
74,4.835999999999999,4.835999999999999
75,5.004,5.004
76,5.038,5.038
77,5.038,5.038
78,5.17,5.17
79,5.196000000000001,5.196000000000001
80,5.266,5.266
81,5.164000000000001,5.164000000000001
82,5.048,5.048
83,5.09,5.09
84,5.106,5.106
85,5.01,5.01
86,4.832,4.832
87,4.876,4.876
88,4.846,4.846
89,4.968,4.968
90,5.05,5.05
91,5.006,5.006
92,4.95,4.95
93,5.002,5.002
94,5.088,5.088
95,5.16,5.16
96,5.314,5.314
97,5.3420000000000005,5.3420000000000005
