,TTS_2::NC_011703.1:128-228(-),TTS_3::NC_011703.1:3462-3562(-),TTS_4::NC_011703.1:3531-3631(-),TTS_5::NC_011703.1:5569-5669(-),TTS_6::NC_011703.1:35770-35870(-),TTS_7::NC_011703.1:37239-37339(-),TTS_8::NC_011703.1:38449-38549(-),TTS_9::NC_011703.1:50273-50373(-),TTS_10::NC_011703.1:51039-51139(-),TTS_11::NC_011703.1:51304-51404(-),TTS_12::NC_011703.1:60533-60633(-),TTS_13::NC_011703.1:62419-62519(-)
-50,,,,,,,,,,,,
-49,,,,,,,,,,,,
-48,,,,,,,,,,,,
-47,,,,,,,,,,,,
-46,,,,,,,,,,,,
-45,,,,,,,,,,,,
-44,,,,,,,,,,,,
-43,,,,,,,,,,,,
-42,,,,,,,,,,,,
-41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-40,0.012832127550714542,0.009030971989323231,0.0152061777035741,0.016861874418733387,0.021452468828194127,0.01710258916625742,0.018072543528643285,0.009480664235442979,0.004832088401593311,0.013534464765950585,0.022207796605648537,0.0215493349955255
-39,0.024103960682896747,0.0175466318043478,0.03200019207825945,0.035817127010035574,0.041999499698653436,0.03386045371380438,0.03371985112335224,0.01933261034662929,0.008719814881110382,0.02809613638107023,0.04527344499025837,0.041740371649003974
-38,0.03430328014959981,0.025387602754966033,0.048689686175244974,0.055280107500543685,0.06062503887390734,0.05179320730656747,0.0476528671621271,0.03005631449629742,0.016204189371269988,0.044225488013717375,0.06936864211968766,0.05951064177824235
-37,0.04392962953045655,0.031575121491371434,0.0621648440485724,0.07280811109447331,0.0778108389763493,0.07134704326666244,0.0607968688562503,0.04093653787592433,0.028439021697758173,0.061175467494085665,0.09463885410872379,0.0743037877928782
-36,0.053961237041993536,0.03780955436927915,0.07237425937331284,0.08897838156136251,0.09407854680588774,0.09172698799115003,0.07453294223179371,0.05219255560766702,0.04524137737474569,0.07819027428784919,0.12122083279769189,0.08522109622184335
-35,0.06620459544603594,0.04536210408991124,0.07899719885630173,0.1035827419327338,0.10860406177444042,0.11269887525719298,0.09015641954585572,0.06440117845752025,0.0645920201667182,0.0934681330514943,0.1485200594583775,0.09141290946899619
-34,0.07986358914402006,0.05433366899613036,0.0822647234426598,0.11527975208292107,0.12210285331695765,0.13534337777164854,0.10934364655315024,0.07622084181820349,0.08536778529258078,0.1072177645739962,0.17471045556606038,0.09283725379664391
-33,0.09367619308611755,0.06487488137570989,0.08424362826828764,0.1246239451905651,0.13920530363270373,0.15947531443756058,0.13044098439495835,0.08700524033467257,0.10524497513119724,0.12031784020271721,0.1995606071948554,0.09577766392225898
-32,0.10495298222113052,0.07717333636518028,0.0893602961725833,0.13257900690385108,0.16068648287257636,0.1853687656076636,0.15251647426143494,0.09758820724754583,0.12409911240583063,0.13281607847715,0.22199360391464143,0.1029128466964414
-31,0.11333474413758711,0.090915788567729,0.09772172884767584,0.142434743070796,0.1884391189571355,0.21293397128825617,0.17587244683451325,0.10781552994653765,0.14117991267618615,0.14493335050265074,0.2418742113542411,0.11298896643298613
-30,0.10625384520841714,0.0974880988329353,0.09440219909348552,0.1394417134144436,0.20107984751414448,0.2259005374990221,0.1828963032446004,0.10742302302565976,0.14992794742031465,0.1441356954442757,0.23707420925777717,0.10372459634059714
-29,0.09786442530947455,0.1053214502880706,0.09306018052203639,0.137902106336444,0.21835057276857958,0.24245203062312598,0.19419043886662743,0.10532782201451821,0.15615227844033355,0.14204593007856323,0.22936371578155126,0.0978008787295398
-28,0.08855674780128124,0.11375027461891078,0.09426150883971651,0.1376624710461555,0.23887046927351094,0.25926788116281774,0.2094613111837212,0.10050182564275449,0.1547300940412421,0.13666833026382053,0.21984715246372058,0.09602221195750775
-27,0.08102068264015239,0.12369340492209846,0.09912803312871638,0.14103847822169277,0.2609023099388163,0.27625159377619296,0.22688195425677748,0.09371585822737427,0.14737676004914455,0.12754295523192566,0.20807045048520983,0.09868464129597099
-26,0.07569538082383828,0.13365995400175226,0.10744978624291368,0.14739268705272113,0.28453995147982325,0.29438307755235954,0.24456917182296672,0.08398853123273756,0.13838024869872398,0.1152162288491376,0.1932157876308642,0.10543562088940564
-25,0.07089275094725932,0.14319358927005194,0.11843786499707754,0.15679448344941016,0.3103396430531996,0.3123781114788859,0.2602838050037031,0.07398548670577004,0.13039434520872398,0.10211108764568741,0.17547191491854117,0.11535043256288083
-24,0.0664669617530515,0.1523200125422836,0.1319423299922322,0.16955368321331102,0.3347687219471443,0.3274065799937744,0.2729300495929635,0.06822667316401015,0.12408679927193253,0.0920253213792797,0.15749549283958597,0.12888429037405427
