,TSS_1::Pseudomonas_phage_phiKZ:12384-12584(),TSS_2::Pseudomonas_phage_phiKZ:73986-74186(),TSS_3::Pseudomonas_phage_phiKZ:114822-115022(),TSS_4::Pseudomonas_phage_phiKZ:117462-117662(),TSS_5::Pseudomonas_phage_phiKZ:160060-160260(),TSS_6::Pseudomonas_phage_phiKZ:187935-188135(),TSS_7::Pseudomonas_phage_phiKZ:265839-266039(),TSS_8::Pseudomonas_phage_phiKZ:266294-266494(),TSS_9::Pseudomonas_phage_phiKZ:266709-266909(),TSS_10::Pseudomonas_phage_phiKZ:269656-269856(),TSS_11::Pseudomonas_phage_phiKZ:271571-271771(),TSS_12::Pseudomonas_phage_phiKZ:271823-272023(),TSS_13::Pseudomonas_phage_phiKZ:273355-273555(),TSS_14::Pseudomonas_phage_phiKZ:273878-274078(),TSS_15::Pseudomonas_phage_phiKZ:277698-277898(),TSS_16::Pseudomonas_phage_phiKZ:280102-280302(),mean
-100,,,,,,,,,,,,,,,,,
-99,,,,,,,,,,,,,,,,,
-98,,,,,,,,,,,,,,,,,
-97,,,,,,,,,,,,,,,,,
-96,,,,,,,,,,,,,,,,,
-95,,,,,,,,,,,,,,,,,
-94,,,,,,,,,,,,,,,,,
-93,,,,,,,,,,,,,,,,,
-92,,,,,,,,,,,,,,,,,
-91,,,,,,,,,,,,,,,,,
-90,,,,,,,,,,,,,,,,,
-89,,,,,,,,,,,,,,,,,
-88,,,,,,,,,,,,,,,,,
-87,,,,,,,,,,,,,,,,,
-86,-0.996,-1.2173333333333334,-1.088,-1.1733333333333333,-1.3706666666666665,-1.3206666666666667,-1.306,-1.0733333333333335,-1.2146666666666666,-1.27,-1.154,-1.8133333333333332,-1.6520000000000001,-1.2313333333333332,-1.238,-1.3493333333333335,-1.27925
-85,-0.9773333333333334,-1.18,-1.0959999999999999,-1.1266666666666665,-1.424,-1.35,-1.2593333333333334,-1.0813333333333333,-1.2786666666666666,-1.306,-1.0966666666666667,-1.7873333333333334,-1.656,-1.2313333333333332,-1.19,-1.3293333333333335,-1.273125
