,TSS_1::Pseudomonas_phage_phiKZ:12288-12488(),TSS_2::Pseudomonas_phage_phiKZ:12382-12582(),TSS_3::Pseudomonas_phage_phiKZ:14712-14912(),TSS_4::Pseudomonas_phage_phiKZ:15991-16191(),TSS_5::Pseudomonas_phage_phiKZ:19791-19991(),TSS_6::Pseudomonas_phage_phiKZ:81676-81876(),TSS_7::Pseudomonas_phage_phiKZ:81869-82069(),TSS_8::Pseudomonas_phage_phiKZ:114356-114556(),TSS_9::Pseudomonas_phage_phiKZ:114822-115022(),TSS_10::Pseudomonas_phage_phiKZ:172065-172265(),TSS_11::Pseudomonas_phage_phiKZ:187688-187888(),TSS_12::Pseudomonas_phage_phiKZ:265838-266038(),TSS_13::Pseudomonas_phage_phiKZ:271586-271786(),TSS_14::Pseudomonas_phage_phiKZ:271822-272022(),TSS_15::Pseudomonas_phage_phiKZ:274048-274248(),TSS_16::Pseudomonas_phage_phiKZ:278654-278854(),TSS_17::Pseudomonas_phage_phiKZ:280101-280301(),mean
-100,,,,,,,,,,,,,,,,,,
-99,,,,,,,,,,,,,,,,,,
-98,,,,,,,,,,,,,,,,,,
-97,,,,,,,,,,,,,,,,,,
-96,,,,,,,,,,,,,,,,,,
-95,,,,,,,,,,,,,,,,,,
-94,,,,,,,,,,,,,,,,,,
-93,,,,,,,,,,,,,,,,,,
-92,,,,,,,,,,,,,,,,,,
-91,,,,,,,,,,,,,,,,,,
-90,,,,,,,,,,,,,,,,,,
-89,,,,,,,,,,,,,,,,,,
-88,,,,,,,,,,,,,,,,,,
-87,,,,,,,,,,,,,,,,,,
-86,-1.2513333333333334,-1.136,-1.1086666666666667,-1.3413333333333335,-1.4400000000000002,-1.1873333333333334,-1.1726666666666667,-1.1926666666666668,-1.088,-1.082,-1.0799999999999998,-1.3886666666666667,-0.9306666666666668,-1.8093333333333335,-1.4693333333333334,-1.4533333333333334,-1.3506666666666667,-1.2636470588235293
