,TSS_7::NC_013691.1:18031-18231(),TSS_8::NC_013691.1:35174-35374(),TSS_9::NC_013691.1:39276-39476(),TSS_10::NC_013691.1:66501-66701(),mean
-100,,,,,
-99,,,,,
-98,,,,,
-97,,,,,
-96,,,,,
-95,,,,,
-94,,,,,
-93,,,,,
-92,,,,,
-91,,,,,
-90,,,,,
-89,,,,,
-88,,,,,
-87,,,,,
-86,,,,,
-85,,,,,
-84,,,,,
-83,,,,,
-82,,,,,
-81,0.028137139708570576,0.027329756431000662,0.06057346421515856,0.032259063606087664,0.03707485599020437
-80,0.03153146604693857,0.031236778207419817,0.06664617712939554,0.03516766458249131,0.04114552149156131
-79,0.033745528612112816,0.03544498457474276,0.07286612441134115,0.03859641771748249,0.045163263828919796
-78,0.0351763355494569,0.039460193553133745,0.07920936939234297,0.04261011562775702,0.049114003530672655
-77,0.036688235526814855,0.04355807940785723,0.08511805383618821,0.04687424954070425,0.053059654577891135
-76,0.038404959620596424,0.04756556094546559,0.09049973092128727,0.05099412523657202,0.05686609418098033
-75,0.04072497579093928,0.05137556724999914,0.0959027333725487,0.05470519893236457,0.06067711883646293
-74,0.04331908601001808,0.054975304071061014,0.10146869258242426,0.05830704988637416,0.06451753313746937
-73,0.045822427601492376,0.05846679813851946,0.10731647099270288,0.062123520126524036,0.0684323042148097
-72,0.04838177325497,0.061871016887361005,0.11352467104190142,0.06656343113893375,0.07258522308079154
-71,0.05131617864206185,0.0651708945319974,0.12052215559999317,0.07184872822510899,0.07721448924979035
-70,0.05233028164182133,0.0655692485218795,0.12478702884239841,0.07373526448871077,0.0791054558737025
-69,0.0540765040820451,0.06683733849229426,0.12777999074076624,0.07659811835087377,0.08132298791649484
-68,0.0561066553200133,0.06884999572149764,0.12959928279262387,0.08055061006341638,0.08377663597438778
-67,0.05782580468757333,0.07155009981323802,0.13028870982816182,0.08526491666296382,0.08623238274798424
-66,0.05957729468940728,0.07526662369286435,0.1301338155124989,0.09096946769664306,0.0889868003978534
