,TSS_POS_1::Phage_LUZ100_full_genome:335-435(+),TSS_POS_2::Phage_LUZ100_full_genome:536-636(+),TSS_POS_3::Phage_LUZ100_full_genome:2203-2303(+),TSS_POS_4::Phage_LUZ100_full_genome:4030-4130(+),TSS_POS_5::Phage_LUZ100_full_genome:6686-6786(+),TSS_POS_6::Phage_LUZ100_full_genome:6731-6831(+),TSS_POS_7::Phage_LUZ100_full_genome:8298-8398(+),TSS_POS_8::Phage_LUZ100_full_genome:8574-8674(+),TSS_POS_9::Phage_LUZ100_full_genome:8716-8816(+),TSS_POS_10::Phage_LUZ100_full_genome:8867-8967(+),TSS_POS_11::Phage_LUZ100_full_genome:16340-16440(+),TSS_POS_12::Phage_LUZ100_full_genome:36729-36829(+)
-70,,,,,,,,,,,,
-69,,,,,,,,,,,,
-68,,,,,,,,,,,,
-67,,,,,,,,,,,,
-66,,,,,,,,,,,,
-65,,,,,,,,,,,,
-64,,,,,,,,,,,,
-63,,,,,,,,,,,,
-62,,,,,,,,,,,,
-61,,,,,,,,,,,,
-60,,,,,,,,,,,,
-59,,,,,,,,,,,,
-58,,,,,,,,,,,,
-57,,,,,,,,,,,,
-56,,,,,,,,,,,,
-55,,,,,,,,,,,,
-54,,,,,,,,,,,,
-53,,,,,,,,,,,,
-52,,,,,,,,,,,,
-51,6.705,6.255,5.175,5.35,5.59,5.57,6.02,5.14,4.7700000000000005,5.725,5.01,5.635
-50,6.56,6.275,5.285,5.16,5.35,5.595,6.04,5.3100000000000005,4.994999999999999,6.1899999999999995,5.165000000000001,5.635
-49,6.335,6.13,5.279999999999999,5.1850000000000005,5.369999999999999,5.415,6.085,5.34,4.9,5.959999999999999,5.0200000000000005,5.68
-48,6.159999999999999,5.955,5.215000000000001,5.154999999999999,5.435,5.575,5.775,5.375,4.840000000000001,6.08,5.0649999999999995,5.819999999999999
-47,6.22,5.64,5.295,5.375,5.6499999999999995,5.545,5.845,5.6,4.655,5.725,5.015,5.72
-46,6.3149999999999995,5.3549999999999995,5.41,5.424999999999999,5.6850000000000005,5.444999999999999,6.069999999999999,5.680000000000001,4.705,5.714999999999999,4.785,5.615
-45,6.0600000000000005,5.085,5.42,5.345,5.75,5.59,6.135,5.67,4.7700000000000005,5.785,4.83,5.61
-44,5.985,5.074999999999999,5.735,5.234999999999999,6.1499999999999995,5.869999999999999,6.0249999999999995,5.385,4.965000000000001,5.8100000000000005,4.8999999999999995,5.4799999999999995
-43,5.83,5.205,6.125,5.3549999999999995,6.244999999999999,5.765,6.095,5.605,5.220000000000001,5.904999999999999,5.055,5.425
-42,5.67,5.255,6.26,5.34,6.435,5.595,6.13,5.555000000000001,5.16,5.955,4.61,5.385
-41,5.515,4.99,6.084999999999999,5.355,6.385,5.549999999999999,6.005000000000001,5.68,5.180000000000001,5.81,4.52,5.275
-40,5.24,4.930000000000001,6.025,5.465000000000001,6.285,5.73,5.955,5.9399999999999995,5.125,5.9399999999999995,4.59,5.26
-39,5.04,4.765,5.865,5.6450000000000005,6.29,5.6049999999999995,6.4,5.8,5.15,5.73,4.725,5.45
-38,5.115,4.595,6.085,5.71,6.4399999999999995,5.63,6.0,5.7299999999999995,5.015000000000001,5.76,4.7,5.675
-37,5.225,4.86,5.84,6.109999999999999,6.305,5.77,5.975,5.835,5.195,5.73,4.755,5.79
-36,5.1850000000000005,4.855,5.84,6.6049999999999995,6.1899999999999995,5.515,5.999999999999999,5.925,5.26,5.65,4.97,5.82
-35,5.215,4.735,5.87,6.575,6.015,5.444999999999999,6.2,5.77,5.565,5.6850000000000005,5.04,5.705
-34,5.415,4.83,5.654999999999999,6.545,5.8100000000000005,5.525,5.945,5.83,5.565,5.6899999999999995,5.284999999999999,5.7
-33,5.385,4.545,5.59,6.42,5.71,5.595,6.1049999999999995,5.715,5.819999999999999,5.869999999999999,5.535,5.555000000000001
-32,5.44,4.444999999999999,5.569999999999999,6.539999999999999,5.765,5.584999999999999,6.1,5.82,5.799999999999999,6.109999999999999,5.529999999999999,5.525
-31,5.175,4.365,5.77,6.545,5.835,5.135,5.84,5.88,5.99,6.109999999999999,5.6,5.81
-30,5.225,4.445,5.7700000000000005,6.49,6.07,5.04,5.63,5.85,6.23,5.869999999999999,5.615,5.790000000000001
-29,5.45,4.895,5.58,6.709999999999999,6.17,5.265,5.659999999999999,5.965,6.1450000000000005,5.84,5.715,5.695
-28,5.415000000000001,4.765,5.51,6.805,5.83,5.24,5.77,5.8549999999999995,5.85,5.555,5.65,5.58
-27,5.35,5.07,5.41,6.62,6.095000000000001,5.2700000000000005,5.6049999999999995,5.745,5.635,5.93,5.725,5.5600000000000005
-26,5.075,5.1,5.234999999999999,6.49,6.115,5.345000000000001,5.444999999999999,6.045,5.785,6.03,6.005,5.63
-25,5.409999999999999,5.23,5.01,6.540000000000001,6.1499999999999995,5.055,5.445,6.234999999999999,5.96,5.735,6.035,5.5649999999999995
-24,5.665,5.175,4.985,6.425,5.93,5.085,5.67,6.4799999999999995,5.659999999999999,5.9,5.86,5.6450000000000005
-23,5.49,4.8,4.85,6.425,5.645,5.035,5.74,6.26,5.55,5.84,5.529999999999999,5.545
-22,5.6450000000000005,5.130000000000001,4.46,6.484999999999999,5.64,5.12,5.43,6.06,5.58,5.715,5.755,5.51
-21,5.680000000000001,5.23,4.57,6.464999999999999,5.61,5.315,5.465,5.96,5.505,5.64,5.75,5.795
-20,5.795,5.13,4.79,6.14,5.499999999999999,5.3149999999999995,5.715,5.55,5.7,5.6450000000000005,5.965,5.790000000000001
-19,5.8,5.135,4.869999999999999,5.8100000000000005,5.18,5.39,5.415,5.4,5.915000000000001,5.955,5.99,5.3100000000000005
-18,5.865,5.2,4.825,5.85,5.18,5.255,5.67,5.505,6.0200000000000005,6.15,5.7299999999999995,4.9350000000000005
-17,5.8,5.135,5.08,5.6899999999999995,5.42,4.775,5.41,5.485,5.885,6.2749999999999995,5.39,4.925
-16,6.005,5.34,4.85,5.45,5.42,5.1049999999999995,5.505000000000001,5.245,5.77,6.4399999999999995,5.255,4.935
-15,6.08,5.415,4.675,5.205,5.194999999999999,5.015,5.4,5.025,5.494999999999999,6.534999999999999,5.245,4.985
-14,5.8549999999999995,5.3149999999999995,4.68,5.285,5.255,4.96,5.8,5.155,5.835,6.505,5.180000000000001,4.695
-13,6.0,5.635,4.734999999999999,5.359999999999999,5.255,4.665000000000001,5.67,5.345000000000001,5.66,6.325,4.959999999999999,4.8549999999999995
-12,5.87,5.735,4.765,5.290000000000001,5.305,4.695,5.74,5.365,5.605,6.04,5.3,4.965
-11,6.07,6.07,4.585,5.295,5.265,4.95,6.14,5.335,5.744999999999999,6.015,5.155,5.015000000000001
-10,6.055,6.055,4.775,5.54,5.43,4.95,6.14,5.525,5.744999999999999,6.145,4.994999999999999,5.015
-9,5.785,5.785,4.775,5.16,5.255,4.9799999999999995,6.11,5.325,5.67,6.3149999999999995,5.005,5.215
-8,5.819999999999999,5.819999999999999,4.86,5.065,5.48,5.175,6.225,5.404999999999999,6.025,6.265,5.225,5.055
-7,5.885,5.885,4.8149999999999995,5.075,5.319999999999999,5.125,6.39,5.4,5.96,6.185,5.040000000000001,4.845000000000001
-6,6.33,6.33,4.840000000000001,5.075,5.569999999999999,5.1,6.21,5.404999999999999,5.89,6.084999999999999,5.035,4.82
-5,6.305,6.305,4.95,5.075,5.595000000000001,5.385,6.404999999999999,5.34,5.705,6.334999999999999,5.075,4.885
-4,6.455,6.455,5.0,5.075,5.415000000000001,5.5600000000000005,6.4399999999999995,5.095,6.005,6.09,5.135,5.1049999999999995
-3,6.455,6.455,5.035,4.975,5.575,5.785,6.109999999999999,5.1450000000000005,5.859999999999999,6.255,5.295,5.0600000000000005
-2,6.409999999999999,6.284999999999999,5.375,4.93,5.545,5.584999999999999,6.159999999999999,5.365,5.96,6.540000000000001,5.069999999999999,5.115
-1,6.529999999999999,6.18,4.975,4.935,5.445,5.485,6.1,5.265,6.135,6.58,5.1,4.944999999999999
0,6.35,6.29,4.784999999999999,5.31,5.590000000000001,5.525,5.955,5.59,5.6899999999999995,6.27,4.930000000000001,4.869999999999999
1,6.445,6.404999999999999,4.9350000000000005,5.65,5.87,5.444999999999999,5.81,5.869999999999999,5.529999999999999,6.09,4.8549999999999995,5.18
2,6.35,6.265,4.735,5.545,5.765,5.59,5.779999999999999,5.765,5.5649999999999995,5.92,5.165,5.435
3,6.174999999999999,6.115,4.705,5.375,5.595000000000001,5.87,5.95,5.595,5.825,5.8950000000000005,5.445,5.075
4,5.839999999999999,5.9399999999999995,4.705,5.404999999999999,5.55,5.765,6.025,5.549999999999999,5.825,5.805000000000001,5.37,4.965
5,5.734999999999999,5.83,4.955,5.7,5.7299999999999995,5.595000000000001,5.83,5.925,6.08,5.43,5.529999999999999,4.9399999999999995
6,5.805,5.83,5.26,5.6850000000000005,5.6049999999999995,5.55,5.6850000000000005,5.869999999999999,5.92,5.625,5.505,5.1899999999999995
