,TSS_POS_1::Phage_LUZ100_full_genome:335-435(+),TSS_POS_2::Phage_LUZ100_full_genome:536-636(+),TSS_POS_3::Phage_LUZ100_full_genome:2203-2303(+),TSS_POS_4::Phage_LUZ100_full_genome:4030-4130(+),TSS_POS_5::Phage_LUZ100_full_genome:6686-6786(+),TSS_POS_6::Phage_LUZ100_full_genome:6731-6831(+),TSS_POS_7::Phage_LUZ100_full_genome:8298-8398(+),TSS_POS_8::Phage_LUZ100_full_genome:8574-8674(+),TSS_POS_9::Phage_LUZ100_full_genome:8716-8816(+),TSS_POS_10::Phage_LUZ100_full_genome:8867-8967(+),TSS_POS_11::Phage_LUZ100_full_genome:16340-16440(+),TSS_POS_12::Phage_LUZ100_full_genome:36729-36829(+)
-70,,,,,,,,,,,,
-69,,,,,,,,,,,,
-68,,,,,,,,,,,,
-67,,,,,,,,,,,,
-66,,,,,,,,,,,,
-65,,,,,,,,,,,,
-64,,,,,,,,,,,,
-63,,,,,,,,,,,,
-62,,,,,,,,,,,,
-61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-60,0.015865370008212445,0.006100792167822273,0.017167508259677264,0.02076006765632634,0.010511745557453451,0.017464570390557425,0.007879559087547939,0.005245464419701941,0.014537045150252698,0.008268847829586529,0.01706887295546032,0.011724194405381017
-59,0.032966832144519474,0.0148551661978925,0.03250795561087818,0.04260006212040522,0.0241536337029954,0.033677058210970175,0.014540727569144207,0.011987284404921004,0.03089074826721001,0.016600291246038276,0.03607244684170637,0.023665264794537306
-58,0.048812959119908336,0.02647884773250847,0.045233316528489095,0.06563298911871608,0.04058893774126337,0.048654107218386713,0.020105102005207105,0.02128674108445925,0.04950992484904305,0.02468871443127595,0.057015043711102366,0.034895257269684996
-57,0.06368188685420631,0.041327062635241586,0.05430596261839719,0.09016881333013513,0.058601897991816955,0.061968744683808294,0.024572883852894543,0.033514751855094976,0.07048264801951798,0.0331804245684719,0.07935554556237606,0.04566386881767575
-56,0.07777314105950188,0.0596775413484941,0.05996379450351411,0.11562241655855518,0.07667383168518924,0.072786489711232,0.027862489899201804,0.04908820769189562,0.09394438346517406,0.042000974460036734,0.10296723466420754,0.056286818051442825
-55,0.0904987735453661,0.0811896463357075,0.0640761791782701,0.1394398354553375,0.09519069071931596,0.08104113963711666,0.030394124417968415,0.06637699626078356,0.11940619738060063,0.05137538491315171,0.12686331306613902,0.06691192592434766
-54,0.10296184346805429,0.10419141745590732,0.06950284420947597,0.16071479930763785,0.11402504849527093,0.0866333736662317,0.03289100679141685,0.0827942729722538,0.14514462471542117,0.06138209934731046,0.15094144876122287,0.07754788884127937
-53,0.1168216242739061,0.1281188837912535,0.07654577077629872,0.17956823877740136,0.1327313330617187,0.09049827254650265,0.034924065485223546,0.09852110097947006,0.16939892038397678,0.07025668978581541,0.17537896491730143,0.08859280926604847
-52,0.13234616100869315,0.153103371917601,0.08484374133625665,0.19617002853913873,0.14973433490086954,0.09348534535436903,0.038228402601415065,0.11306212456666179,0.19231424538009373,0.07782911176116139,0.19872062660318907,0.09944509653532681
-51,0.1494683432088003,0.1793513808029361,0.0945731628545122,0.21088687683781412,0.1651404342718677,0.09543320922729831,0.04356756793471438,0.1265158008434823,0.21377967108112675,0.08410088111138828,0.21891342472157477,0.10966867341506817
-50,0.15246600287936457,0.2012425274839864,0.08838122424231926,0.2034398739562601,0.16901178270777967,0.07972700035512002,0.042948117553846143,0.13320880579498728,0.21937239243211942,0.08084163790226748,0.21763577515058885,0.10546009165237882
-49,0.15565559562146852,0.22224759216323667,0.08505559932329945,0.19231718057289146,0.16895664691605652,0.06723832892884377,0.0454737559410178,0.13579839352001682,0.22214548171035173,0.07589368244566518,0.21008472039998866,0.09748167829404039
-48,0.1623688528081573,0.242578376698077,0.08505789423996182,0.17767620187720914,0.16557215466291705,0.058488246546865894,0.051294707721432076,0.13274743466940547,0.22130600015051974,0.06986384913417507,0.19729878857746547,0.08724814596993244
-47,0.17130135075987735,0.26195726655023505,0.08962020015004792,0.160328106042038,0.16039872512199851,0.053661815962065186,0.06035370444556789,0.12578332878358975,0.2164717187528015,0.06326914708270431,0.1832588901680476,0.07955667640451979
-46,0.18240676916692405,0.27795226818113383,0.09867372730061398,0.14312548361783184,0.15496569727096765,0.0528387896264378,0.0711730101084058,0.11792155166827822,0.20728352018933743,0.05825534568639499,0.1704469035654102,0.07453539593103356
-45,0.1961531157314166,0.2892123314190494,0.10915780240717228,0.1299832993989313,0.14876549533727743,0.05619060662153661,0.083286626796428,0.11106225517794874,0.194273063486387,0.054854936399971035,0.15892548476864266,0.0725688402379153
-44,0.20932182060124266,0.2975005097109279,0.11793875033933712,0.12164074002049352,0.1430819420418566,0.06221335291841188,0.09563607936432625,0.107187141968447,0.1796472682556442,0.053308208886590325,0.14792014155370725,0.07335488194031001
-43,0.2176320764514415,0.3032578072628946,0.1242964994984943,0.1181494782803602,0.1379430668953731,0.06970106179069607,0.10950134990409106,0.10633553045226869,0.16661741406359654,0.054583355176434444,0.1373408784772217,0.0766907706435683
-42,0.22084217402930323,0.3045116237300843,0.12863526550900323,0.11795637010483943,0.1349864101659819,0.07788490583406094,0.12051974256698479,0.10900818940945649,0.1548228674019903,0.058735323171669886,0.12894718438059233,0.0829073627905986
-41,0.21900668787094174,0.3011894108581139,0.1304194026179986,0.12086821985809379,0.13489958881070424,0.08677577916106988,0.12572384595816571,0.1153057340110046,0.1446499552573209,0.06559272504577433,0.12434658948719994,0.09131343716520188
-40,0.21199742975635258,0.2923349408961752,0.12989044471302974,0.12652583252046645,0.13740148185786574,0.09428422384540533,0.125434676162742,0.12354570730093566,0.1359694928192891,0.07511260834082137,0.12446930432477601,0.1025367802286058
-39,0.1996470901895622,0.27690238079349294,0.12788948159577948,0.13553088108061656,0.14255747318559636,0.09815758044325336,0.1213811837553388,0.13239201419466573,0.12835852383636154,0.08701890539339832,0.1288446366802777,0.11689223921411193
-38,0.18061682321630604,0.25447724159638074,0.12588079849904146,0.14783952113843177,0.14945087469161972,0.09753616466224087,0.11661823018726683,0.14262499118660352,0.12166408378087579,0.10046799916262324,0.13658107133939934,0.13405460963417323
-37,0.1589580183143932,0.22593673384494445,0.12426051722061324,0.1612957834003816,0.1564483319504629,0.09277853980538624,0.11315731419566555,0.15219070454604894,0.11619193722213772,0.11418317430444731,0.14426255977769406,0.14903833858039983
-36,0.13882432078350365,0.19669633909277784,0.12343175612254373,0.17272884914313108,0.16301536695133567,0.08703820714432038,0.11121390306932197,0.15764522922748775,0.11202097731571632,0.12505256859186317,0.14960348664520942,0.1615263009598308
-35,0.12071396092424971,0.17091238144948545,0.12477835714423673,0.1807816545671669,0.16930346350275532,0.08197162372294639,0.11066881452850696,0.1589213861096032,0.10936498873862839,0.13303315215306125,0.15378598193089937,0.1702142997874208
-34,0.10592934442678441,0.14907843162332454,0.1287868067787023,0.18571117890400393,0.1739301309394627,0.07733443112703614,0.11275660793427349,0.15601588526002788,0.10763608705900955,0.13739348035032783,0.15803268170256846,0.17587281979105007
-33,0.09551436188084106,0.1306662375966776,0.132979581643295,0.18724930782784893,0.17764932105018777,0.07269157010650726,0.11674008756277399,0.14871906340720514,0.10396887898600751,0.13845882679515795,0.16210710530067002,0.17772852419152757
-32,0.08943690646199162,0.11481074559118847,0.13775579297100035,0.18781166229028293,0.17953808282557132,0.06815870985928404,0.12419353774009079,0.13748952305331566,0.09934933689241847,0.13706367929491542,0.16512650385209562,0.17631394363296055
-31,0.08778000591060381,0.10193650261107061,0.14363408909824876,0.1856140605380909,0.17764144121222616,0.06360485989701097,0.13524060297694568,0.12210617948645523,0.09386936446222585,0.13360831661600206,0.16571189957411214,0.17313948112204086
-30,0.09038580723266777,0.09275069155594809,0.15028745320545786,0.17991871511679486,0.1716147356935161,0.058929850117546236,0.14926728529531946,0.1051520101387525,0.0870900382581416,0.12853431643917262,0.16447708086104237,0.16927823469604603
-29,0.0959435994330275,0.08702301406843344,0.15580887054438836,0.17111327303570711,0.16069295167268846,0.05438099134682449,0.1650465650137012,0.08945996003987429,0.07961872926530918,0.12280075307409741,0.16190099613853953,0.1644087738667316
-28,0.10347677867910039,0.08414030374618586,0.15782779886977666,0.15966913918914433,0.1452922796294655,0.05257656618594149,0.17910492873750622,0.07432802107028798,0.07244475031285197,0.11767785554360273,0.15773765286787333,0.1575521555372601
-27,0.11031669102233807,0.08311850237191969,0.15651033667431027,0.14918592658133253,0.130880896967166,0.055069979273330724,0.1896188708799313,0.06344048606349639,0.06577348701263146,0.11342862535570228,0.15114348364963742,0.14869022095086518
-26,0.1119456255461152,0.0812848776919755,0.15146547119594495,0.14216220068786187,0.12061948189720484,0.05966162628397331,0.1980017966449804,0.057475169804422487,0.06028075263181153,0.10945777557993079,0.14130220082446676,0.1372739635878316
-25,0.10815336725772777,0.07607186705423417,0.1429169565560381,0.13864531002805933,0.11495567840261298,0.0658967562716637,0.20492168162861563,0.05642307689245,0.05587673395210121,0.10382279935138324,0.12834274652860583,0.12521939968501788
