,TTS_1::Pseudomonas_phage_phiKZ:5490-5590(+),TTS_2::Pseudomonas_phage_phiKZ:19983-20083(+),TTS_3::Pseudomonas_phage_phiKZ:22385-22485(+),TTS_4::Pseudomonas_phage_phiKZ:23502-23602(+),TTS_5::Pseudomonas_phage_phiKZ:25192-25292(+),TTS_6::Pseudomonas_phage_phiKZ:27634-27734(+),TTS_7::Pseudomonas_phage_phiKZ:29324-29424(+),TTS_8::Pseudomonas_phage_phiKZ:33511-33611(+),TTS_9::Pseudomonas_phage_phiKZ:34892-34992(+),TTS_10::Pseudomonas_phage_phiKZ:39495-39595(+),TTS_11::Pseudomonas_phage_phiKZ:40356-40456(+),TTS_12::Pseudomonas_phage_phiKZ:42756-42856(+),TTS_13::Pseudomonas_phage_phiKZ:45794-45894(+),TTS_14::Pseudomonas_phage_phiKZ:47838-47938(+),TTS_15::Pseudomonas_phage_phiKZ:50149-50249(+),TTS_16::Pseudomonas_phage_phiKZ:50489-50589(+),TTS_17::Pseudomonas_phage_phiKZ:52600-52700(+),TTS_18::Pseudomonas_phage_phiKZ:53464-53564(+),TTS_19::Pseudomonas_phage_phiKZ:55119-55219(+),TTS_20::Pseudomonas_phage_phiKZ:57889-57989(+),TTS_21::Pseudomonas_phage_phiKZ:65621-65721(+),TTS_22::Pseudomonas_phage_phiKZ:68659-68759(+),TTS_23::Pseudomonas_phage_phiKZ:70248-70348(+),TTS_24::Pseudomonas_phage_phiKZ:76360-76460(+),TTS_25::Pseudomonas_phage_phiKZ:91673-91773(+),TTS_26::Pseudomonas_phage_phiKZ:97602-97702(+),TTS_27::Pseudomonas_phage_phiKZ:101320-101420(+),TTS_28::Pseudomonas_phage_phiKZ:101981-102081(+),TTS_29::Pseudomonas_phage_phiKZ:108929-109029(+),TTS_30::Pseudomonas_phage_phiKZ:114189-114289(+),TTS_31::Pseudomonas_phage_phiKZ:120579-120679(+),TTS_32::Pseudomonas_phage_phiKZ:133049-133149(+),TTS_33::Pseudomonas_phage_phiKZ:137140-137240(+),TTS_34::Pseudomonas_phage_phiKZ:142897-142997(+),TTS_35::Pseudomonas_phage_phiKZ:147129-147229(+),TTS_36::Pseudomonas_phage_phiKZ:149711-149811(+),TTS_37::Pseudomonas_phage_phiKZ:152913-153013(+),TTS_38::Pseudomonas_phage_phiKZ:158192-158292(+),TTS_39::Pseudomonas_phage_phiKZ:162400-162500(+),TTS_40::Pseudomonas_phage_phiKZ:166793-166893(+),TTS_41::Pseudomonas_phage_phiKZ:167818-167918(+),TTS_42::Pseudomonas_phage_phiKZ:172989-173089(+),TTS_43::Pseudomonas_phage_phiKZ:173100-173200(+),TTS_44::Pseudomonas_phage_phiKZ:177156-177256(+),TTS_45::Pseudomonas_phage_phiKZ:196037-196137(+),TTS_46::Pseudomonas_phage_phiKZ:199143-199243(+),TTS_47::Pseudomonas_phage_phiKZ:200511-200611(+),TTS_48::Pseudomonas_phage_phiKZ:202244-202344(+),TTS_49::Pseudomonas_phage_phiKZ:202294-202394(+),TTS_50::Pseudomonas_phage_phiKZ:206961-207061(+),TTS_51::Pseudomonas_phage_phiKZ:212951-213051(+),TTS_52::Pseudomonas_phage_phiKZ:221285-221385(+),TTS_53::Pseudomonas_phage_phiKZ:223881-223981(+),TTS_54::Pseudomonas_phage_phiKZ:224682-224782(+),TTS_55::Pseudomonas_phage_phiKZ:225743-225843(+),TTS_56::Pseudomonas_phage_phiKZ:227872-227972(+),TTS_57::Pseudomonas_phage_phiKZ:233251-233351(+),TTS_58::Pseudomonas_phage_phiKZ:235778-235878(+),TTS_59::Pseudomonas_phage_phiKZ:239082-239182(+),TTS_60::Pseudomonas_phage_phiKZ:243751-243851(+),TTS_61::Pseudomonas_phage_phiKZ:248180-248280(+),TTS_62::Pseudomonas_phage_phiKZ:248958-249058(+),TTS_63::Pseudomonas_phage_phiKZ:262710-262810(+),TTS_64::Pseudomonas_phage_phiKZ:263206-263306(+),TTS_65::Pseudomonas_phage_phiKZ:263242-263342(+),TTS_66::Pseudomonas_phage_phiKZ:267069-267169(+),TTS_1::Pseudomonas_phage_phiKZ:11961-12061(-),TTS_2::Pseudomonas_phage_phiKZ:12118-12218(-),TTS_3::Pseudomonas_phage_phiKZ:12536-12636(-),TTS_4::Pseudomonas_phage_phiKZ:34861-34961(-),TTS_5::Pseudomonas_phage_phiKZ:80263-80363(-),TTS_6::Pseudomonas_phage_phiKZ:114157-114257(-),TTS_7::Pseudomonas_phage_phiKZ:114216-114316(-),TTS_8::Pseudomonas_phage_phiKZ:114675-114775(-),TTS_9::Pseudomonas_phage_phiKZ:115893-115993(-),TTS_10::Pseudomonas_phage_phiKZ:117884-117984(-),TTS_11::Pseudomonas_phage_phiKZ:133015-133115(-),TTS_12::Pseudomonas_phage_phiKZ:158160-158260(-),TTS_13::Pseudomonas_phage_phiKZ:161541-161641(-),TTS_14::Pseudomonas_phage_phiKZ:171547-171647(-),TTS_15::Pseudomonas_phage_phiKZ:173747-173847(-),TTS_16::Pseudomonas_phage_phiKZ:178302-178402(-),TTS_17::Pseudomonas_phage_phiKZ:179921-180021(-),TTS_18::Pseudomonas_phage_phiKZ:181405-181505(-),TTS_19::Pseudomonas_phage_phiKZ:186296-186396(-),TTS_20::Pseudomonas_phage_phiKZ:209981-210081(-),TTS_21::Pseudomonas_phage_phiKZ:214041-214141(-),TTS_22::Pseudomonas_phage_phiKZ:265388-265488(-),TTS_23::Pseudomonas_phage_phiKZ:265434-265534(-),TTS_24::Pseudomonas_phage_phiKZ:266566-266666(-),TTS_25::Pseudomonas_phage_phiKZ:267040-267140(-),TTS_26::Pseudomonas_phage_phiKZ:267092-267192(-),TTS_27::Pseudomonas_phage_phiKZ:268718-268818(-),TTS_28::Pseudomonas_phage_phiKZ:269422-269522(-),TTS_29::Pseudomonas_phage_phiKZ:270435-270535(-),TTS_30::Pseudomonas_phage_phiKZ:271655-271755(-),TTS_31::Pseudomonas_phage_phiKZ:271690-271790(-),TTS_32::Pseudomonas_phage_phiKZ:271772-271872(-),TTS_33::Pseudomonas_phage_phiKZ:272819-272919(-),TTS_34::Pseudomonas_phage_phiKZ:273217-273317(-),TTS_35::Pseudomonas_phage_phiKZ:273957-274057(-),TTS_36::Pseudomonas_phage_phiKZ:276107-276207(-),TTS_37::Pseudomonas_phage_phiKZ:277779-277879(-)
-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-40,0.01845886304825397,0.012471860984716802,0.012942909097189237,0.023290185111991664,0.012870822345513141,0.010986732628013033,0.009175220041217921,0.02438408159076719,0.00795025703599412,0.009897309331353635,0.002832891155168571,0.016707360867898986,0.02332696570300128,0.026015708952622223,0.02326098355101663,0.018919586186088015,0.011348881175859764,0.004973501736049161,0.032864524447047565,0.02041392392994435,0.0030104710169858847,0.010692699440275087,0.02808834453587227,0.018957911703677367,0.006534789768088488,0.010260631107312805,0.007424353591468072,0.007637349340873951,0.011333271400493696,0.015255929849840779,0.009138836548062964,0.008451319794471442,0.010925604643250342,0.023565503549134427,0.015410788272439352,0.00829216295001713,0.022290226937922576,0.011672614273315646,0.01606724367329706,0.011184517367449283,0.027023261672272526,0.01657937443079905,0.016048682105051264,0.022207726063281603,0.004385005855773618,0.02623599796094655,0.008173513322608685,0.014181174095613574,0.024366394100445596,0.011837820111112354,0.01581732069607859,0.029306602045325952,0.024644792817834008,0.024434242462849955,0.026440842985674923,0.013488440832436718,0.01703615507117514,0.01968520351588322,0.01573584052250779,0.0065160758523253644,0.02903091151622203,0.007116457729939692,0.005433850210485513,0.01132334701598244,0.01655909625292134,0.0035217365679552333,0.01607507799078661,0.010215594102498875,0.015901167999426022,0.020270234648086992,0.012325061281464333,0.014893974448167202,0.005841722961501635,0.012663103478569426,0.013718998777151537,0.009170063453634079,0.016986336134964017,0.004371360509241523,0.01572390908522412,0.003689609796607191,0.017402725795307567,0.022800818016517312,0.026745822363681542,0.01654738972929653,0.019533919192238715,0.021841519990685933,0.004274933505957623,0.01705459906090775,0.009510802847614661,0.021488288530314908,0.008482750367866049,0.01511494256053994,0.0036429223619892774,0.024193470409919753,0.019365390908737876,0.02316437862615823,0.021074576945650562,0.009406053114468441,0.021859554187277894,0.009518446442620756,0.031977100651607006,0.010996715151956549,0.024317020424038584
