,TSS_5::NC_013691.1:26542-26742(),TSS_6::NC_013691.1:28760-28960(),TSS_8::NC_013691.1:59661-59861(),mean
-100,,,,
-99,,,,
-98,,,,
-97,,,,
-96,,,,
-95,,,,
-94,,,,
-93,,,,
-92,,,,
-91,,,,
-90,,,,
-89,,,,
-88,,,,
-87,,,,
-86,,,,
-85,,,,
-84,,,,
-83,,,,
-82,,,,
-81,0.1354171340935637,0.10400238799062589,0.1295421852797936,0.1229872357879944
-80,0.1459031989940357,0.10855163373093824,0.1398197180314963,0.13142485025215675
-79,0.15559995810313668,0.11241637042410768,0.14996164944018853,0.13932599265581094
-78,0.16633257254766126,0.1149910462452239,0.16015422549529054,0.1471592814293919
-77,0.1772218640160066,0.11881226654165393,0.170654504639869,0.1555628783991765
-76,0.18841278796530497,0.12457384891174954,0.1808641072115327,0.16461691469619574
-75,0.19850533701606785,0.13144112838369557,0.18967111379748652,0.17320585973241664
-74,0.2074009336494087,0.13868365546892697,0.19689850401039669,0.18099436437624414
-73,0.21444898809570107,0.14591400103673116,0.20229082368554274,0.187551270939325
-72,0.21914198185310269,0.15453419384883738,0.2065780883428002,0.19341808801491342
-71,0.22211479575307566,0.16240264984360092,0.20917684920732316,0.1978980982679999
-70,0.21078191552693162,0.16076703592978067,0.19750192342050896,0.18968362495907376
-69,0.1976850336038778,0.15967733644895676,0.18423331475323862,0.18053189493535773
-68,0.18411849240004044,0.15528297218357615,0.17108750534109918,0.17016298997490523
-67,0.17140180789466697,0.15038032741553786,0.1594773356669683,0.16041982365905771
-66,0.16087568984976977,0.14564534601472584,0.15000070136438076,0.15217391240962547
-65,0.15168107129372432,0.13913891356036273,0.14088053037506396,0.14390017174305034
-64,0.14427660435537717,0.13438501971479785,0.1321636659847943,0.13694176335165645
-63,0.13845938338316266,0.1317426691527951,0.12375580426301917,0.13131928559965897
-62,0.13349590247811005,0.13290986665581672,0.11669749225472481,0.12770108712955053
-61,0.13145092288840168,0.13726786847110367,0.10993954169236868,0.12621944435062468
